"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"PFC","Power Finance Corporation Limited","EQ","Interim Dividend - Rs 3.90 Per Share","10","27-Aug-2026","27-Aug-2026","-","-"
"PGHL","Procter & Gamble Health Limited","EQ","Dividend - Rs 45 Per Share","10","27-Aug-2026","27-Aug-2026","-","-"
"THOMASCOOK","Thomas Cook  (India)  Limited","EQ","Dividend - Rs 0.50 Per Share","1","27-Aug-2026","27-Aug-2026","-","-"
"MANAKCOAT","Manaksia Coated Metals & Industries Limited","EQ","Dividend - Re 0.05 Per Share","1","27-Aug-2026","27-Aug-2026","-","-"
"DOMS","DOMS Industries Limited","EQ","Dividend - Rs 3.65 Per Share","10","27-Aug-2026","27-Aug-2026","-","-"
