"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"LGHL","Laxmi Goldorna House Limited","EQ","Bonus 7:5","10","10-Oct-2025","10-Oct-2025","-","-"
"CAPTRUST","Capital Trust Limited","EQ","Rights 1:1 @ Premium Rs 4/-","10","10-Oct-2025","10-Oct-2025","-","-"
"UEL","Ujaas Energy Limited","EQ","Bonus 2:1","1","10-Oct-2025","10-Oct-2025","-","-"
"HEXT","Hexaware Technologies Limited","EQ","Interim Dividend - Rs 5.75 Per Share","1","10-Oct-2025","10-Oct-2025","-","-"
"RCF","Rashtriya Chemicals and Fertilizers Limited","EQ","Dividend - Rs 1.32 Per Share","10","10-Oct-2025","10-Oct-2025","-","-"
"AGIIL","Agi Infra Limited","EQ","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share","1","10-Oct-2025","10-Oct-2025","-","-"
