"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"BMWVENTLTD","BMW Ventures Limited","EQ","Interim Dividend - Rs 1.50 Per Share","10","10-Feb-2026","10-Feb-2026","-","-"
"EMAMILTD","Emami Limited","EQ","Interim Dividend - Rs 6 Per Share","1","10-Feb-2026","10-Feb-2026","-","-"
"APOLLOTYRE","Apollo Tyres Limited","EQ","Interim Dividend - Rs 3.50 Per Share","1","10-Feb-2026","10-Feb-2026","-","-"
"CCL","CCL Products (India) Limited","EQ","Interim Dividend - Rs 2.75 Per Share","2","10-Feb-2026","10-Feb-2026","-","-"
"TIINDIA","Tube Investments of India Limited","EQ","Interim Dividend - Rs 2 Per Share","1","10-Feb-2026","10-Feb-2026","-","-"
"WEALTH","Wealth First Portfolio Managers Limited","EQ","Interim Dividend - Rs 4 Per Share","10","10-Feb-2026","10-Feb-2026","-","-"
"RITES","RITES Limited","EQ","Interim Dividend - Rs 1.90 Per Share","10","10-Feb-2026","10-Feb-2026","-","-"
"SHREMINVIT","Shrem Invit","IV","Distribution - Rs 5.418 Per Unit Consists Of Rs 1.109 Per Unit As Dividend/ Rs 2.738 Per Unit As Interest/ Rs 1.571 Per Unit As Return Of Capital","100","10-Feb-2026","10-Feb-2026","-","-"
"TSFINV","TSF INVESTMENTS LIMITED","EQ","Interim Dividend - Rs 6.70 Per Share","5","10-Feb-2026","10-Feb-2026","-","-"
"TCI","Transport Corporation of India Limited","EQ","Interim Dividend - Rs 9 Per Share","2","10-Feb-2026","10-Feb-2026","-","-"
"PTL","PTL Enterprises Limited","EQ","Interim Dividend - Rs 1.50 Per Share","1","10-Feb-2026","10-Feb-2026","-","-"
"KRT","Knowledge Realty Trust","RR","Distribution - Rs 1.568 Per Unit Consist Of Rs 1.081 Per Unit As Dividend/ Re 0.130 Per Unit As Interest/ Re 0.354 Per Unit As Repayment Of Debt/ Re 0.003 Per Unit As Other Income","100","10-Feb-2026","10-Feb-2026","-","-"
"NHPC","NHPC Limited","EQ","Interim Dividend - Rs 1.40 Per Share","10","10-Feb-2026","10-Feb-2026","-","-"
"JUBLINGREA","Jubilant Ingrevia Limited","EQ","Interim Dividend - Rs 2.50 Per Share","1","10-Feb-2026","10-Feb-2026","-","-"
"CAPINVIT","Capital Infra Trust","IV","Distribution - Rs 2.34 Per Unit Consist Of Re 0.41 Per Unit As Interest/ Rs 1.54 Per Unit As Dividend/ Re 0.38 Per Unit As Return Of Capital/ Re 0.01 Per Unit As Other Income","99","10-Feb-2026","10-Feb-2026","-","-"
