"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"679GS2029","GOVERNMENT OF INDIA","GS","Interest Payment","100","23-Jun-2023","23-Jun-2023","-","-"
"DALBHARAT","Dalmia Bharat Limited","EQ","Dividend - Rs 5 Per Share","2","23-Jun-2023","23-Jun-2023","-","-"
"CENTRALBK","Central Bank of India","EQ","Annual General Meeting","10","23-Jun-2023","-","24-Jun-2023","30-Jun-2023"
"DBOL","Dhampur Bio Organics Limited","EQ","Dividend - Rs 3.50 Per Share","10","23-Jun-2023","23-Jun-2023","-","-"
"GHCL","GHCL Limited","EQ","Annual General Meeting/Dividend - Rs  17.50 Per Share","10","23-Jun-2023","24-Jun-2023","-","-"
"TORNTPHARM","Torrent Pharmaceuticals Limited","EQ","Dividend - Rs 8 Per Share","5","23-Jun-2023","23-Jun-2023","-","-"
"DEVYANI","Devyani International Limited","EQ","Annual General Meeting","1","23-Jun-2023","-","26-Jun-2023","03-Jul-2023"
"PNB","Punjab National Bank","EQ","Annual General Meeting/Dividend - Rs  0.65 Per Share","2","23-Jun-2023","-","24-Jun-2023","30-Jun-2023"
"RAYMOND","Raymond Limited","EQ","Annual General Meeting/Dividend - Rs  3 Per Share","10","23-Jun-2023","23-Jun-2023","-","-"
"SHRIPISTON","Shriram Pistons & Rings Limited","EQ","Dividend - Rs 5 Per Share","10","23-Jun-2023","23-Jun-2023","-","-"
"DWARKESH","Dwarikesh Sugar Industries Limited","EQ","Annual General Meeting","1","23-Jun-2023","-","24-Jun-2023","30-Jun-2023"
"INSPIRISYS","Inspirisys Solutions Limited","EQ","Annual General Meeting","10","23-Jun-2023","-","24-Jun-2023","30-Jun-2023"
"MIRCELECTR","MIRC Electronics Limited","EQ","Annual General Meeting","1","23-Jun-2023","-","26-Jun-2023","03-Jul-2023"
"PLASTIBLEN","Plastiblends India Limited","EQ","Annual General Meeting/Dividend - Rs  Per Share","5","23-Jun-2023","-","24-Jun-2023","30-Jun-2023"
