"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"GESHIP","The Great Eastern Shipping Company Limited","EQ","Interim Dividend - Rs 9 Per Share","10","24-May-2023","24-May-2023","-","-"
"MANAPPURAM","Manappuram Finance Limited","EQ","Interim Dividend - Re 0.75 Per Share","2","24-May-2023","24-May-2023","-","-"
"NHIT","National Highways Infra Trust","IV","Distribution- Rs 1.6035 Comprising Interest- Rs 1.5778 Per Unit/Other Income On Surplus Funds- Rs 0.0257 Per Unit","101","24-May-2023","24-May-2023","-","-"
"772GS2025","GOVERNMENT OF INDIA","GS","Interest Payment","100","24-May-2023","24-May-2023","-","-"
"883GS2023","GOVERNMENT OF INDIA","GS","Interest Payment","100","24-May-2023","24-May-2023","-","-"
"ROSSARI","Rossari Biotech Limited","EQ","Annual General Meeting/Dividend - Re 0.50 Per Share","2","24-May-2023","-","25-May-2023","31-May-2023"
