"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SUNDARMFIN","Sundaram Finance Limited","EQ","Dividend - Rs 24 Per Share","10","06-Jul-2026","06-Jul-2026","-","-"
"PILANIINVS","Pilani Investment and Industries Corporation Limited","EQ","Dividend - Rs 9 Per Share","10","06-Jul-2026","06-Jul-2026","-","-"
"DJML","DJ Mediaprint & Logistics Limited","EQ","Dividend - Re 0.15 Per Share","10","06-Jul-2026","06-Jul-2026","-","-"
"DCMSIL","DCM Shriram International Limited","EQ","Dividend - Re 0.40 Per Share","2","06-Jul-2026","06-Jul-2026","-","-"
