"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"824GS2027","GOVERNMENT OF INDIA","GS","Interest Payment","100","14-Aug-2025","14-Aug-2025","-","-"
"TFCILTD","Tourism Finance Corporation of India Limited","EQ","Dividend - Rs 3 Per Share","2","14-Aug-2025","14-Aug-2025","-","-"
"JINDRILL","Jindal Drilling And Industries Limited","EQ","Dividend - Re 1 Per Share","5","14-Aug-2025","14-Aug-2025","-","-"
"MAHSEAMLES","Maharashtra Seamless Limited","EQ","Dividend - Rs 10 Per Sh","5","14-Aug-2025","14-Aug-2025","-","-"
"MANAPPURAM","Manappuram Finance Limited","EQ","Interim Dividend - Rs 0.50 Per Share","2","14-Aug-2025","14-Aug-2025","-","-"
"MANGCHEFER","Mangalore Chemicals & Fertilizers Limited","EQ","Dividend - Rs 1.50 Per Share","10","14-Aug-2025","14-Aug-2025","-","-"
"MANGLMCEM","Mangalam Cement Limited","EQ","Dividend - Rs 1.50 Per Share","10","14-Aug-2025","15-Aug-2025","-","-"
"MGL","Mahanagar Gas Limited","EQ","Dividend - Rs 18 Per Share","10","14-Aug-2025","14-Aug-2025","-","-"
"MINDACORP","Minda Corporation Limited","EQ","Dividend - Rs 0.90 Per Share","2","14-Aug-2025","14-Aug-2025","-","-"
"MUNJALAU","Munjal Auto Industries Limited","EQ","Dividend - Re 1 Per Sh","2","14-Aug-2025","14-Aug-2025","-","-"
"MURUDCERA","Murudeshwar Ceramics Limited","EQ","Dividend - Rs 0.50 Per Share","10","14-Aug-2025","14-Aug-2025","-","-"
"NATHBIOGEN","Nath Bio-Genes (India) Limited","EQ","Dividend - Rs 2 Per Share","10","14-Aug-2025","14-Aug-2025","-","-"
"NBIFIN","N. B. I. Industrial Finance Company Limited","EQ","Dividend - Re 0.50 Per Share","5","14-Aug-2025","15-Aug-2025","-","-"
"NCC","NCC Limited","EQ","Dividend - Rs 2.20 Per Share","2","14-Aug-2025","14-Aug-2025","-","-"
"LGBBROSLTD","LG Balakrishnan & Bros Limited","EQ","Dividend - Rs 20 Per Share","10","14-Aug-2025","14-Aug-2025","-","-"
"LLOYDSENGG","LLOYDS ENGINEERING WORKS LIMITED","EQ","Dividend - Rs 0.25  Per Share","1","14-Aug-2025","14-Aug-2025","-","-"
"LLOYDSENT","Lloyds Enterprises Limited","EQ","Rights 1:5 @ Premium Rs 38/-","1","14-Aug-2025","14-Aug-2025","-","-"
"NHPC","NHPC Limited","EQ","Dividend - Rs 0.51 Per Share","10","14-Aug-2025","14-Aug-2025","-","-"
"INTERISE","Interise Trust","IV","Distribution - Rs 1.19 Per Unit Consists Of Interest Amount - Re 0.42 Per Unit/ Dividend - Re 0.76 Per Unit/Other Income - Re 0.01 Per Unit","100","14-Aug-2025","15-Aug-2025","-","-"
"NMDC","NMDC Limited","EQ","Dividend - Re 1 Per Share","1","14-Aug-2025","14-Aug-2025","-","-"
"ACE","Action Construction Equipment Limited","EQ","Dividend - Rs 2 Per Share","2","14-Aug-2025","14-Aug-2025","-","-"
"GLAND","Gland Pharma Limited","EQ","Dividend - Rs 18 Per Share","1","14-Aug-2025","14-Aug-2025","-","-"
"ALKALI","Alkali Metals Limited","EQ","Dividend - Re 0.50 Per Share","10","14-Aug-2025","14-Aug-2025","-","-"
"DENTA","Denta Water and Infra Solutions Limited","EQ","Dividend - Rs 2.50 Per Share","10","14-Aug-2025","14-Aug-2025","-","-"
"GPIL","Godawari Power And Ispat limited","EQ","Dividend - Re 1 Per Share","1","14-Aug-2025","16-Aug-2025","-","-"
"ANUHPHR","Anuh Pharma Limited","EQ","Dividend - Rs 1.50 Per Share","5","14-Aug-2025","15-Aug-2025","-","-"
