"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"TCI","Transport Corporation of India Limited","EQ"," Interim Dividend - Rs 2 Per Share","2","08-Nov-2021","09-Nov-2021","-","-"
"EMAMILTD","Emami Limited","EQ"," Interim Dividend - Rs 4 Per Share","1","08-Nov-2021","09-Nov-2021","-","-"
"824GS2033","GOVERNMENT OF INDIA","GS"," Interest Payment","100","08-Nov-2021","09-Nov-2021","-","-"
"TRITURBINE","Triveni Turbine Limited","EQ"," Interim Dividend - Rs 0.40 Per Share/ Special Dividend - Rs 0.60 Per Share","1","08-Nov-2021","09-Nov-2021","-","-"
"MARICO","Marico Limited","EQ"," Interim Dividend - Rs 3 Per Share","1","08-Nov-2021","09-Nov-2021","-","-"
"KANSAINER","Kansai Nerolac Paints Limited","EQ"," Interim Dividend - Rs 1.25 Per Share","1","08-Nov-2021","09-Nov-2021","-","-"
"NAM-INDIA","Nippon Life India Asset Management Limited","EQ"," Interim Dividend - Rs  3.50 Per Share","10","08-Nov-2021","09-Nov-2021","-","-"
"ALLDIGI","Alldigi Tech Limited","EQ"," Interim Dividend - Rs 45 Per Share","10","08-Nov-2021","09-Nov-2021","-","-"
"IMFA","Indian Metals & Ferro Alloys Limited","EQ"," Interim Dividend - Rs 5 Per Share","10","08-Nov-2021","09-Nov-2021","-","-"
"OCCL","Oriental Carbon & Chemicals Limited","EQ"," Interim Dividend - Rs 7 Per Share","10","08-Nov-2021","09-Nov-2021","-","-"
