"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"TOUCHWOOD","Touchwood Entertainment Limited","EQ","Annual General Meeting/Dividend - Re 0.15  Per Share","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"UMIYA-MRO","UMIYA BUILDCON LIMITED","EQ","Annual General Meeting","5","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"ANSALHSG","Ansal Housing Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","21-Sep-2022","27-Sep-2022"
"AMBICAAGAR","Ambica Agarbathies & Aroma industries Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","21-Sep-2022","27-Sep-2022"
"BLUECOAST","Blue Coast Hotels Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","21-Sep-2022","27-Sep-2022"
"BVCL","Barak Valley Cements Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","21-Sep-2022","27-Sep-2022"
"VALECHAENG","Valecha Engineering Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","21-Sep-2022","28-Sep-2022"
"VCL","Vaxtex Cotfab Limited","EQ","Annual General Meeting","1","20-Sep-2022","-","21-Sep-2022","28-Sep-2022"
"ZODIAC","Zodiac Energy Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","21-Sep-2022","27-Sep-2022"
"SHYAMTEL","Shyam Telecom Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","21-Sep-2022","27-Sep-2022"
"SUMIT","Sumit Woods Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","21-Sep-2022","27-Sep-2022"
"KAUSHALYA","Kaushalya Infrastructure Development Corporation Limited","EQ","Annual General Meeting","1000","20-Sep-2022","-","21-Sep-2022","27-Sep-2022"
"KHANDSE","Khandwala Securities Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","21-Sep-2022","27-Sep-2022"
"KSERASERA","KSS Limited","EQ","Annual General Meeting","1","20-Sep-2022","-","21-Sep-2022","27-Sep-2022"
"MALUPAPER","Malu Paper Mills Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","21-Sep-2022","28-Sep-2022"
"MANUGRAPH","Manugraph India Limited","EQ","Annual General Meeting","2","20-Sep-2022","-","21-Sep-2022","27-Sep-2022"
"KCPSUGIND","KCP Sugar and Industries Corporation Limited","EQ","Annual General Meeting/Dividend - Re 0.10 Per Share","1","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"KILITCH","Kilitch Drugs (India) Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","29-Sep-2022"
"KPIGREEN","KPI Green Energy Limited","EQ","Annual General Meeting","5","20-Sep-2022","-","22-Sep-2022","29-Sep-2022"
"KRISHANA","Krishana Phoschem Limited","EQ","Annual General Meeting/Dividend - Re 0.50 Per Share","2","20-Sep-2022","21-Sep-2022","-","-"
"LGBFORGE","LGB Forge Limited","EQ","Annual General Meeting","1","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"LOKESHMACH","Lokesh Machines Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"MAHAPEXLTD","Maha Rashtra Apex Corporation Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"MAITHANALL","Maithan Alloys Limited","EQ","Annual General Meeting/Dividend - Rs 6 Per Sh","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"MANORG","Mangalam Organics Limited","EQ","Annual General Meeting/Dividend - Rs 1.50 Per Share","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"MONTECARLO","Monte Carlo Fashions Limited","EQ","Annual General Meeting/Dividend - Rs 20 Per Share","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"OLECTRA","Olectra Greentech Limited","EQ","Annual General Meeting/Dividend - Re 0.40 Per Share","4","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"OMAXAUTO","Omax Autos Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","30-Sep-2022"
"OMAXE","Omaxe Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"OSWALAGRO","Oswal Agro Mills Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"PODDARHOUS","Poddar Housing and Development Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","29-Sep-2022"
"PRIVISCL","Privi Speciality Chemicals Limited","EQ","Dividend - Rs 2 Per Share","10","20-Sep-2022","21-Sep-2022","-","-"
"PRIVISCL","Privi Speciality Chemicals Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"RAJSREESUG","Rajshree Sugars & Chemicals Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"AHLUCONT","Ahluwalia Contracts (India) Limited","EQ","Annual General Meeting/Dividend - Re 0.30 Per Share","2","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"AKSHARCHEM","AksharChem India Limited","EQ","Annual General Meeting/Dividend - Re 0.50 Per Share","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"ALPA","Alpa Laboratories Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","29-Sep-2022"
"ANMOL","Anmol India Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"ANSALAPI","Ansal Properties & Infrastructure Limited","EQ","Annual General Meeting","5","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"ASIANHOTNR","Asian Hotels (North) Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"REMSONSIND","Remsons Industries Limited","EQ","Annual General Meeting/Dividend - Re 1 Per Share","2","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"RIIL","Reliance Industrial Infrastructure Limited","EQ","Dividend - Rs 3 Per Share","10","20-Sep-2022","21-Sep-2022","-","-"
"RVHL","Ravinder Heights Limited","EQ","Annual General Meeting","1","20-Sep-2022","-","22-Sep-2022","29-Sep-2022"
"SAIL","Steel Authority of India Limited","EQ","Annual General Meeting","10","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
"SARLAPOLY","Sarla Performance Fibers Limited","EQ","Annual General Meeting/Dividend - Rs 2 Per Share","1","20-Sep-2022","-","22-Sep-2022","28-Sep-2022"
