"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"CUMMINSIND","Cummins India Limited","EQ"," Interim Dividend - Rs 7 Per Share","2","09-Feb-2021","10-Feb-2021","-","-"
"LTFOODS","LT Foods Limited","EQ"," Interim Dividend - Re  0.50 Per Share","1","09-Feb-2021","10-Feb-2021","-","-"
"ORIENTELEC","Orient Electric Limited","EQ"," Interim Dividend - Rs 0.75 Per Sh","1","09-Feb-2021","10-Feb-2021","-","-"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","EQ"," Interim Dividend - Rs  6.00 Per Share","10","09-Feb-2021","10-Feb-2021","-","-"
"PERSISTENT","Persistent Systems Limited","EQ"," Interim Dividend - Rs 14 Per Share","10","09-Feb-2021","10-Feb-2021","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Interim Dividend - Rs 7.50  Per Share","10","09-Feb-2021","10-Feb-2021","-","-"
"CHOLAFIN","Cholamandalam Investment and Finance Company Limited","EQ"," Interimdividend - Rs 1.30  Per Share","2","09-Feb-2021","10-Feb-2021","-","-"
"TCI","Transport Corporation of India Limited","EQ"," Interim Dividend - Re 1.20 Per Share","2","10-Feb-2021","11-Feb-2021","-","-"
"DCW","DCW Limited","EQ"," Extra Ordinary General Meeting","2","10-Feb-2021","-","12-Feb-2021","18-Feb-2021"
"COROMANDEL","Coromandel International Limited","EQ"," Interim Dividend - Rs 6 Per Share","1","10-Feb-2021","11-Feb-2021","-","-"
"MANAPPURAM","Manappuram Finance Limited","EQ"," Interim Dividend - Rs 0.65 Per Share","2","10-Feb-2021","11-Feb-2021","-","-"
"PGHH","Procter & Gamble Hygiene and Health Care Limited","EQ"," Interim Dividend - Rs 85 Per Share","10","10-Feb-2021","11-Feb-2021","-","-"
"KPRMILL","K.P.R. Mill Limited","EQ"," Interim Dividend - Rs 3.75 Per Share","1","10-Feb-2021","11-Feb-2021","-","-"
"SUBEXLTD","Subex Limited","EQ"," Interim Dividend - Rs 0.50 Per Share","5","10-Feb-2021","11-Feb-2021","-","-"
