SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,57.44,57.44
WHEELS,20.24,20.24
RIIL,141.35,141.35
PREMIERPOL,17.95,17.95
RAYMOND,18.27,18.27
SHREDIGCEM,47.66,47.66
SESHAPAPER,19.64,19.64
SMLISUZU,32.62,32.62
SUNDRMFAST,38.45,38.45
FACT,613.03,741.81
EXIDEIND,39.90,39.90
ELECON,24.46,28.21
CRISIL,47.08,47.08
LMW,152.72,151.76
NELCO,311.08,311.08
MASTEK,16.85,17.05
MAHSCOOTER,81.29,101.26
LUMAXIND,63.93,63.93
TRENT,109.15,109.15
KECL,345.83,
CUMMINSIND,58.59,58.88
KCP,8.79,8.11
JAYBARMARU,21.49,21.49
JBCHEPHARM,38.25,38.25
INFY,23.05,23.05
INDIAGLYCO,30.62,30.62
IONEXCHANG,27.80,27.80
IFBIND,56.85,56.85
IGPL,21.77,21.77
HIMATSEIDE,22.31,8.40
GNFC,13.35,13.35
BPCL,9.65,9.51
BHARATFORG,56.61,56.43
BASF,50.20,51.01
FORCEMOT,23.75,33.72
ATUL,34.87,34.87
ARVIND,19.31,19.31
ACC,14.67,15.19
TATAMOTORS,11.74,11.44
SCI,11.90,11.90
LINDEINDIA,119.78,119.78
HINDPETRO,8.89,8.89
ESCORTS,32.46,34.11
RELINFRA,1.12,1.29
BAJAJHLDNG,66.19,203.48
ASHOKLEY,23.39,23.49
VOLTAS,61.51,61.51
TITAN,84.47,84.47
TATASTEEL,53.14,49.39
SUNDARMFIN,26.88,26.88
SPIC,14.84,14.84
VEDL,9.48,10.49
SBIN,10.04,10.04
RELIANCE,19.89,19.89
PFIZER,30.17,36.09
NOCIL,32.54,32.54
BOSCHLTD,42.78,51.42
DRREDDY,18.43,18.43
BATAINDIA,72.03,68.57
DEEPAKFERT,19.11,19.11
CHAMBLFERT,12.35,12.35
CARBORUNIV,88.09,122.00
MAHSEAMLES,8.83,8.80
HINDOILEXP,14.71,18.78
DICIND,31.06,32.10
COROMANDEL,28.66,32.63
BALMLAWRIE,17.41,17.41
WILLAMAGOR,1.38,1.38
VINDHYATEL,21.12,21.12
MOTOGENFIN,136.77,136.77
ASIANPAINT,64.14,59.83
RAMCOCEM,75.74,210.47
INDIACEM,,523.26
PGHL,34.23,34.23
BEML,60.80,60.80
ADOR,49.38,41.53
CENTENKA,18.04,18.04
TATACHEM,65.17,47.22
TORNTPHARM,59.72,59.21
VTL,14.40,14.40
SUNDROP,,72.33
FEDERALBNK,12.48,12.48
EPL,17.12,16.97
VLSFINANCE,30.97,30.97
SUPREMEIND,68.82,68.82
SRF,62.66,62.66
BIRLACABLE,77.42,77.42
BALRAMCHIN,25.38,25.38
AEGISLOG,35.44,35.44
WEIZMANIND,20.05,20.05
UNICHEMLAB,26.17,26.17
BBOX,45.54,35.67
HONAUT,63.03,63.03
JTEKTINDIA,60.56,61.03
SAURASHCEM,84.11,216.31
RANEHOLDIN,10.47,64.30
PRECOT,9.83,9.83
TATAELXSI,45.20,45.20
SUNPHARMA,38.51,34.83
KOHINOOR,0.34,
SHREYANIND,5.74,5.74
SANDESH,10.46,10.55
HCC,15.37,
APOLLOHOSP,69.22,69.22
ARE&M,21.39,23.48
ADANIENT,71.45,84.42
IVP,18.57,18.57
BALKRISIND,30.43,30.43
INDBANK,24.87,24.87
GINNIFILA,20.08,16.35
EICHERMOT,45.97,45.97
GVT&D,100.83,100.83
NEULANDLAB,118.85,159.49
ONGC,7.74,7.72
ZENSARTECH,26.94,26.94
TAINWALCHM,27.96,27.96
BERGEPAINT,56.35,54.98
BANARISUG,38.39,38.39
JINDALPOLY,,45.83
ANIKINDS,84.28,84.28
KPIL,30.63,30.63
JYOTISTRUC,41.76,41.76
IGARASHI,91.86,91.86
BSL,26.19,26.19
BLUEDART,52.68,52.68
JAYNECOIND,28.83,28.83
MUNJALSHOW,21.96,21.96
APCOTEXIND,32.27,32.27
SOTL,21.61,21.61
HSCL,36.80,36.80
RCF,28.39,28.66
RANASUG,6.27,6.27
KARURVYSYA,10.92,10.92
DECCANCE,69.73,69.73
ARENTERP,175.03,175.03
UFLEX,13.31,10.33
TATAPOWER,29.57,28.63
ADVANIHOTR,21.99,21.99
THOMASCOOK,28.17,27.53
SUNFLAG,24.57,24.57
SUBROS,46.87,46.87
SPMLINFRA,37.17,37.17
SIMPLEXINF,93.03,215.86
SIEMENS,55.09,55.09
BHARATRAS,28.52,26.52
WIPRO,19.34,19.34
VSTIND,15.00,20.87
JUBLPHARMA,39.13,37.03
UNIVCABLES,38.25,38.25
TATACOMM,37.23,57.48
TOKYOPLAST,113.98,113.98
SOMANYCERA,35.49,34.69
MURUDCERA,25.50,25.50
IFCI,31.21,30.97
HLVLTD,35.46,36.88
SANOFI,29.85,30.37
M&M,32.52,32.52
LIBERTSHOE,46.58,41.63
KAJARIACER,56.99,56.99
KABRAEXTRU,40.54,58.99
HEIDELBERG,39.35,39.35
MODTHREAD,50.40,50.40
MANGLMCEM,33.58,33.58
PRSMJOHNSN,196.52,
POLYPLEX,15.60,15.60
PIDILITIND,69.71,69.13
PCBL,35.61,35.57
3PLAND,37.18,37.18
OSWALAGRO,7.98,7.98
EIHAHOTELS,24.66,23.58
HONDAPOWER,37.52,37.52
JINDALSAW,9.25,9.25
SAIL,21.15,21.02
RUBYMILLS,16.33,16.33
STYRENIX,18.56,18.56
ABB,61.10,61.10
IDBI,12.76,12.76
GRAPHITE,31.00,31.00
CANFINHOME,11.99,11.99
BRITANNIA,64.05,64.05
BBL,27.11,27.11
ELECTCAST,10.13,10.13
DHAMPURSUG,17.61,17.61
DCMSHRIRAM,30.23,30.23
DABUR,49.52,49.52
COSMOFIRST,16.23,16.23
CIPLA,23.33,23.33
HEROMOTOCO,24.31,24.31
HDFCBANK,20.90,20.63
HARRMALAYA,14.22,14.22
GMBREW,15.72,15.72
GIPCL,14.21,14.21
ITC,25.00,25.00
INDIANHUME,3.45,22.13
HINDCOMPOS,19.55,14.33
IOC,14.97,17.10
OSWALGREEN,97.63,97.63
HUHTAMAKI,23.83,24.59
RICOAUTO,37.48,36.13
KAMATHOTEL,18.21,18.19
IFBAGRO,29.22,29.22
BANCOINDIA,26.58,26.58
MANINDS,17.72,17.72
APOLLOTYRE,37.29,39.48
SIYSIL,17.37,17.37
SHANTIGEAR,41.43,41.43
PRECWIRE,41.08,41.08
ONWARDTEC,21.86,21.86
NILKAMAL,24.42,24.42
NCC,15.77,15.77
ICIL,26.44,26.44
SEAMECLTD,19.58,19.60
ELGIEQUIP,43.25,43.25
AUROPHARMA,19.21,19.21
BBTC,6.30,6.37
