SYMBOL,SYMBOL P/E,ADJUSTED P/E
PENINLAND,46.25,45.37
THERMAX,63.28,63.28
WHEELS,13.52,13.52
ZODIACLOTH,,
RIIL,119.25,119.25
PREMIERPOL,27.09,27.09
RAYMOND,19.25,18.88
RSWM,,
SHREDIGCEM,27.22,27.22
SESHAPAPER,14.10,14.10
SMLISUZU,14.23,14.23
SUPERSPIN,,
SUNDRMFAST,35.10,35.10
FACT,,509.15
EXIDEIND,37.95,37.95
EUROTEXIND,,
ELECON,25.85,25.85
CRISIL,47.46,47.46
LMW,134.21,134.21
ORIENTPPR,,
PEL,42.35,
NELCO,96.52,96.52
MASTEK,18.40,18.93
MAHSCOOTER,65.38,68.13
LUMAXIND,41.32,41.32
TRENT,100.54,141.16
KECL,62.28,264.81
CUMMINSIND,46.09,46.09
KCP,9.33,8.46
JAYBARMARU,30.54,30.54
JBCHEPHARM,39.98,39.98
INFY,25.67,25.67
INDIAGLYCO,20.69,20.69
IONEXCHANG,33.95,33.95
IFBIND,35.21,35.21
IGPL,12.84,12.84
HIMATSEIDE,17.95,17.95
GNFC,14.49,14.49
GFLLIMITED,,
BPCL,8.56,8.38
BHARATFORG,58.86,53.08
BASF,32.19,32.72
FORCEMOT,19.09,19.09
ATUL,40.30,40.30
ARVIND,27.93,27.93
ACC,13.43,14.78
TATAMOTORS,7.41,7.40
SCI,7.58,7.58
MRPL,23.23,23.04
LINDEINDIA,120.71,120.71
HINDPETRO,10.93,10.93
ESCORTS,29.82,29.82
RELINFRA,34.38,
BAJAJHLDNG,84.98,84.98
ASHOKLEY,20.18,20.46
ZUARIIND,,498.48
VOLTAS,54.56,54.56
TITAN,84.67,84.67
TATASTEEL,76.75,63.61
SUNDARMFIN,30.58,29.42
SPIC,19.45,13.13
VEDL,9.40,10.45
SBIN,8.07,8.07
RELIANCE,20.01,20.01
PFIZER,30.27,30.27
NOCIL,24.35,24.35
BOSCHLTD,39.46,39.48
DRREDDY,17.31,17.31
BATAINDIA,45.64,63.44
DEEPAKFERT,14.92,14.92
CHAMBLFERT,15.21,15.21
CARBORUNIV,47.45,56.11
MAHSEAMLES,11.13,11.13
HINDOILEXP,14.55,17.92
DICIND,30.53,31.45
COROMANDEL,29.74,29.74
BALMLAWRIE,14.26,14.26
WILLAMAGOR,,
VINDHYATEL,16.02,16.02
MOTOGENFIN,45.45,45.45
MARALOVER,,
ASIANPAINT,50.13,48.61
RAMCOCEM,54.48,112.53
INDIACEM,,
PGHL,35.94,34.64
ABREL,125.95,125.95
BEML,40.36,40.36
ADORWELD,27.72,25.09
CENTENKA,14.04,14.04
TATACHEM,,39.13
TORNTPHARM,54.14,54.14
VTL,14.34,14.34
ATFL,555.09,496.83
FEDERALBNK,10.97,10.97
EPL,23.42,22.41
VLSFINANCE,4.28,4.28
VIPIND,,
SUPREMEIND,48.41,48.41
SRF,73.53,73.53
BIRLACABLE,85.99,85.99
BALRAMCHIN,23.94,23.94
ANSALAPI,,
AEGISLOG,38.66,38.66
WEIZMANIND,20.84,20.84
UNITECH,,
UNICHEMLAB,,46.78
BBOX,32.03,24.74
HONAUT,57.05,57.05
JTEKTINDIA,36.01,36.24
SAURASHCEM,175.56,175.56
RANEHOLDIN,8.58,80.95
PRECOT,12.66,15.73
TATAELXSI,42.73,42.73
SUNPHARMA,33.06,32.05
KOHINOOR,,
OILCOUNTUB,,
SHREYANIND,5.24,5.24
SHALPAINTS,,
SANDESH,6.04,6.06
HCC,16.32,
BAJAJHIND,,
ASHIMASYN,4.02,4.02
APOLLOHOSP,67.80,67.80
ARE&M,18.09,19.57
ADANIENT,66.70,63.41
IVP,12.87,12.87
BALKRISIND,27.23,27.23
TIRUMALCHM,,
INDBANK,16.21,16.21
GINNIFILA,,135.63
EICHERMOT,35.44,35.44
RAJSREESUG,11.50,11.50
GVT&D,72.66,72.66
NEULANDLAB,50.66,63.50
ONGC,7.13,6.89
ITI,,
ZENSARTECH,25.24,25.24
TIL,7.52,157.90
TAINWALCHM,54.14,54.14
BERGEPAINT,52.02,52.02
BANARISUG,45.22,45.22
JINDALPOLY,10.87,18.40
ANIKINDS,,
KPIL,29.61,29.61
JYOTISTRUC,55.93,55.93
IGARASHI,63.84,63.84
BSL,17.03,17.03
BLUEDART,51.76,51.76
NKIND,779.27,779.27
JAYNECOIND,237.07,98.93
MUNJALSHOW,16.36,16.36
APCOTEXIND,30.57,30.57
SOTL,22.84,22.84
HSCL,41.66,41.66
RCF,25.39,26.99
RANASUG,9.84,9.84
KARURVYSYA,8.53,8.53
DECCANCE,432.92,75.90
ARENTERP,18.63,18.63
TECILCHEM,,
WSI,876.14,190.65
UFLEX,,7.07
TATAPOWER,32.19,31.05
ADVANIHOTR,20.82,20.82
THOMASCOOK,25.31,24.98
SUNFLAG,25.59,25.59
SUBROS,27.33,27.33
SPMLINFRA,34.36,36.13
SIMPLEXINF,10.08,10.08
SIEMENS,70.09,70.09
BHARATRAS,28.16,28.16
WIPRO,23.86,23.86
VSTIND,13.40,17.94
JUBLPHARMA,23.01,18.82
UNIVCABLES,38.01,38.01
UCAL,,
TATACOMM,35.58,37.11
TOKYOPLAST,138.80,138.80
SOMANYCERA,24.63,25.06
MURUDCERA,27.27,27.27
IFCI,45.85,46.32
HLVLTD,35.03,38.48
SANOFI,32.38,30.34
M&M,27.88,27.88
LIBERTSHOE,40.36,29.74
KREBSBIO,,
KAKATCEM,,
KAJARIACER,37.83,37.83
KABRAEXTRU,32.35,32.35
HEIDELBERG,43.80,43.80
MODTHREAD,27.13,27.13
MODIRUBBER,,
MIRCELECTR,,
MANGLMCEM,43.18,43.18
PRSMJOHNSN,,
PREMIER,,
POLYPLEX,8.84,8.84
PIDILITIND,69.27,67.56
PCBL,32.27,32.23
3PLAND,35.62,35.62
OSWALAGRO,17.73,17.72
EIHAHOTELS,24.17,23.23
HONDAPOWER,35.01,37.38
JINDALSAW,8.74,8.74
SAIL,27.22,17.55
RUBYMILLS,16.29,16.29
STYRENIX,19.06,19.06
ABB,60.05,60.05
ABAN,,
IDBI,10.61,10.61
GRAPHITE,17.98,17.98
CANFINHOME,9.65,9.65
BRITANNIA,52.53,52.09
BBL,22.51,22.51
ELECTCAST,8.20,8.20
DHAMPURSUG,14.69,14.69
DCMSHRIRAM,29.46,29.46
DABUR,48.87,48.87
COSMOFIRST,13.36,13.36
CIPLA,22.93,22.93
HEROMOTOCO,16.10,16.10
HDFCBANK,18.22,17.96
HARRMALAYA,2472.92,45.86
GMBREW,9.32,9.32
GIPCL,12.24,12.24
ITC,25.08,25.08
INDIANHUME,16.49,16.49
HINDCOMPOS,17.88,17.88
IOC,18.78,23.38
WALCHANNAG,,
OSWALGREEN,71.84,71.84
HUHTAMAKI,17.59,26.18
RICOAUTO,28.82,28.32
KAMATHOTEL,22.83,24.19
