SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,79.11,84.16
WHEELS,24.47,24.47
RIIL,110.00,110.00
PREMIERPOL,18.21,18.21
RAYMOND,60.05,13.01
RSWM,15.97,13.85
SHREDIGCEM,42.76,42.76
SESHAPAPER,21.59,21.59
SMLMAH,34.55,34.55
SUPERSPIN,68.02,
SUNDRMFAST,29.56,29.09
EXIDEIND,39.46,39.15
ELECON,33.30,39.79
CRISIL,33.87,33.87
LMW,129.91,123.14
NELCO,529.92,163.91
MASTEK,12.91,12.41
MAHSCOOTER,46.34,46.34
LUMAXIND,42.83,38.88
TRENT,132.19,130.71
CUMMINSIND,75.30,73.19
KCP,7.56,7.31
JAYBARMARU,10.08,9.75
JBCHEPHARM,48.43,47.13
INFY,16.83,16.33
INDIAGLYCO,26.84,26.76
IONEXCHANG,36.67,33.76
IFBIND,35.77,33.38
IGPL,610.47,610.47
HIMATSEIDE,15.74,15.74
GNFC,9.27,9.27
BPCL,5.21,5.15
BHARATFORG,84.25,77.16
BASF,34.70,34.70
FORCEMOT,18.83,21.51
ATUL,28.61,28.67
ARVIND,30.26,29.46
ACC,11.91,12.05
TMPV,,34.72
SCI,10.66,10.66
MRPL,14.10,14.10
LINDEINDIA,122.89,122.89
HINDPETRO,4.94,4.94
ESCORTS,22.64,22.99
RELINFRA,0.62,0.82
BAJAJHLDNG,51.95,139.41
ASHOKLEY,23.35,21.78
VOLTAS,81.64,78.55
TITAN,71.57,70.51
TATASTEEL,25.15,23.61
SUNDARMFIN,23.10,22.45
SPIC,8.12,8.12
VEDL,8.09,7.37
SBIN,10.52,10.81
RELIANCE,18.59,18.59
PFIZER,28.28,27.01
NOCIL,48.89,46.04
BOSCHLTD,40.21,47.93
DRREDDY,25.44,25.44
BATAINDIA,63.76,91.82
DEEPAKFERT,24.04,24.04
CHAMBLFERT,10.13,10.13
CARBORUNIV,141.12,46.84
MAHSEAMLES,11.50,11.43
HINDOILEXP,21.15,30.39
DICIND,24.17,21.90
COROMANDEL,27.13,26.55
BALMLAWRIE,15.41,15.41
MOTOGENFIN,0.70,
MARALOVER,73.91,62.45
ASIANPAINT,60.39,58.82
RAMCOCEM,29.36,114.47
INDIACEM,,138.99
PGHL,31.02,31.02
BEML,103.54,103.54
ADOR,24.22,23.68
CENTENKA,10.80,10.64
TATACHEM,,225.29
TORNTPHARM,69.15,67.22
VTL,25.51,25.51
SUNDROP,122.17,122.17
FEDERALBNK,16.56,16.56
EPL,17.13,16.16
VLSFINANCE,33.32,33.32
SUPREMEIND,53.22,53.22
SRF,43.91,42.45
BIRLACABLE,39.84,39.84
BALRAMCHIN,31.29,31.29
AEGISLOG,24.12,24.12
WEIZMANIND,18.06,18.06
UNICHEMLAB,10.36,52.39
BBOX,86.18,68.01
HONAUT,58.52,57.62
JTEKTINDIA,44.68,42.17
SAURASHCEM,45.79,29.05
RANEHOLDIN,13.63,15.50
PRECOT,21.15,21.15
TATAELXSI,43.09,39.90
SUNPHARMA,37.11,34.19
KOHINOOR,1.14,
SHREYANIND,30.46,30.46
SANDESH,10.90,10.62
HCC,38.49,44.68
BAJAJHIND,34.98,31.52
APOLLOHOSP,60.89,60.43
ARE&M,17.55,22.33
ADANIENT,38.99,149.42
IVP,9.58,9.42
BALKRISIND,34.22,34.22
INDBANK,20.74,20.74
GINNIFILA,8.91,8.06
EICHERMOT,41.49,41.11
RAJSREESUG,98.54,35.60
GVT&D,103.07,99.43
NEULANDLAB,59.89,59.89
ONGC,7.20,7.15
ITI,97.66,
ZENSARTECH,14.97,14.61
TAINWALCHM,16.75,16.75
BERGEPAINT,53.71,51.84
BANARISUG,30.52,30.52
ANIKINDS,72.18,72.18
KPIL,21.34,21.77
JYOTISTRUC,27.18,27.18
IGARASHI,96.62,96.62
BSL,53.90,53.90
BLUEDART,45.00,39.13
JAYNECOIND,20.36,19.93
MUNJALSHOW,23.33,21.70
APCOTEXIND,25.48,25.60
SOTL,19.40,19.40
HSCL,40.23,40.23
RCF,16.45,17.88
RANASUG,0.69,
KARURVYSYA,11.13,11.13
DECCANCE,29.95,55.68
WSI,234.49,272.44
UFLEX,9.67,9.41
TATAPOWER,29.84,29.55
ADVANIHOTR,20.54,19.96
