SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,60.06,60.06
WHEELS,14.40,14.40
RIIL,115.62,115.62
PREMIERPOL,23.97,23.97
RAYMOND,21.93,21.51
SHREDIGCEM,26.67,26.67
SESHAPAPER,12.61,12.61
SMLISUZU,20.19,20.19
SUNDRMFAST,34.00,34.00
FACT,,462.08
EXIDEIND,38.80,38.80
ELECON,25.55,25.55
CRISIL,45.02,45.02
LMW,130.31,130.31
PEL,44.11,
NELCO,97.23,97.23
MASTEK,16.99,17.47
MAHSCOOTER,72.66,75.71
LUMAXIND,40.06,40.06
TRENT,90.97,127.73
KECL,64.33,273.49
CUMMINSIND,44.15,44.15
KCP,9.55,8.66
JAYBARMARU,27.39,27.39
JBCHEPHARM,37.52,37.52
INFY,21.06,21.06
INDIAGLYCO,22.36,22.36
IONEXCHANG,31.42,31.42
IFBIND,38.94,38.94
IGPL,13.05,13.05
HIMATSEIDE,19.33,19.33
GNFC,13.94,13.94
BPCL,9.63,9.43
BHARATFORG,54.00,48.70
BASF,30.96,31.48
FORCEMOT,21.76,21.76
ATUL,36.92,36.92
ARVIND,26.00,26.00
ACC,14.37,15.81
TATAMOTORS,6.74,6.73
SCI,8.29,8.29
MRPL,28.91,28.66
LINDEINDIA,115.76,115.76
HINDPETRO,12.71,12.71
ESCORTS,30.76,30.76
RELINFRA,38.16,
BAJAJHLDNG,81.55,81.55
ASHOKLEY,19.74,20.01
ZUARIIND,,487.57
VOLTAS,50.24,50.24
TITAN,87.07,87.07
TATASTEEL,66.81,55.37
SUNDARMFIN,32.05,30.83
SPIC,19.73,13.32
VEDL,8.12,9.03
SBIN,8.20,8.20
RELIANCE,20.18,20.18
PFIZER,29.99,29.99
NOCIL,22.96,22.96
BOSCHLTD,38.16,38.18
DRREDDY,16.82,16.82
BATAINDIA,45.29,62.96
DEEPAKFERT,16.50,16.50
CHAMBLFERT,16.99,16.99
CARBORUNIV,49.06,58.01
MAHSEAMLES,11.05,11.05
HINDOILEXP,12.85,15.83
DICIND,29.22,30.11
COROMANDEL,35.01,35.01
BALMLAWRIE,16.16,16.16
VINDHYATEL,13.69,13.69
MOTOGENFIN,43.37,43.37
ASIANPAINT,55.85,54.16
RAMCOCEM,59.56,123.03
PGHL,36.64,35.31
ABREL,108.27,108.27
BEML,47.55,47.55
ADORWELD,26.53,24.01
CENTENKA,13.36,13.36
TATACHEM,,39.55
TORNTPHARM,56.83,56.83
VTL,15.74,15.74
SUNDROP,499.82,447.35
FEDERALBNK,11.48,11.48
EPL,21.93,20.98
VLSFINANCE,4.44,4.44
SUPREMEIND,44.53,44.53
SRF,70.93,70.93
BIRLACABLE,86.57,86.57
BALRAMCHIN,27.74,27.74
AEGISLOG,38.34,38.34
WEIZMANIND,20.30,20.30
UNICHEMLAB,,40.30
BBOX,29.87,23.08
HONAUT,56.40,56.40
JTEKTINDIA,39.98,40.24
SAURASHCEM,173.89,173.89
RANEHOLDIN,8.46,79.89
PRECOT,10.19,12.66
TATAELXSI,36.59,36.59
SUNPHARMA,34.51,33.46
SHREYANIND,5.08,5.08
SANDESH,5.78,5.80
HCC,16.58,
ASHIMASYN,4.23,4.23
APOLLOHOSP,74.56,74.56
ARE&M,17.50,18.93
ADANIENT,66.43,63.15
IVP,12.77,12.77
BALKRISIND,24.86,24.86
INDBANK,14.28,14.28
GINNIFILA,,129.45
EICHERMOT,37.36,37.36
RAJSREESUG,10.98,10.98
GVT&D,68.03,68.03
NEULANDLAB,46.89,58.78
ONGC,6.91,6.68
ZENSARTECH,22.04,22.04
TIL,9.21,193.45
TAINWALCHM,51.70,51.70
BERGEPAINT,57.78,57.78
BANARISUG,51.17,51.17
JINDALPOLY,10.32,17.48
KPIL,29.25,29.25
JYOTISTRUC,49.35,49.35
IGARASHI,50.50,50.50
BSL,16.25,16.25
BLUEDART,52.44,52.44
NKIND,1004.43,1004.43
JAYNECOIND,226.74,94.62
MUNJALSHOW,15.52,15.52
APCOTEXIND,32.35,32.35
SOTL,21.42,21.42
HSCL,39.19,39.19
RCF,24.93,26.51
RANASUG,8.48,8.48
KARURVYSYA,8.71,8.71
DECCANCE,395.48,69.33
ARENTERP,19.84,19.84
WSI,793.37,172.64
UFLEX,,7.38
TATAPOWER,32.82,31.66
ADVANIHOTR,21.11,21.11
THOMASCOOK,23.54,23.23
SUNFLAG,25.19,25.19
SUBROS,27.14,27.14
SPMLINFRA,46.33,48.72
SIMPLEXINF,12.85,12.85
SIEMENS,37.43,37.43
BHARATRAS,25.30,25.30
WIPRO,19.81,19.81
VSTIND,14.01,18.76
JUBLPHARMA,21.27,17.40
UNIVCABLES,31.09,31.09
TATACOMM,39.61,41.32
TOKYOPLAST,146.39,146.39
SOMANYCERA,22.85,23.26
MURUDCERA,24.87,24.87
IFCI,43.73,44.18
HLVLTD,31.03,34.09
SANOFI,36.77,34.45
M&M,25.79,25.79
LIBERTSHOE,41.00,30.21
KAJARIACER,33.73,33.73
KABRAEXTRU,23.42,23.42
HEIDELBERG,42.26,42.26
MODTHREAD,23.59,23.59
MANGLMCEM,49.00,49.00
POLYPLEX,8.97,8.97
PIDILITIND,75.62,73.75
PCBL,33.74,33.71
3PLAND,35.16,35.16
OSWALAGRO,23.79,23.78
EIHAHOTELS,26.07,25.06
