SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,56.83,56.83
WHEELS,20.04,20.04
RIIL,139.00,139.00
PREMIERPOL,17.59,17.59
RAYMOND,18.08,18.08
SHREDIGCEM,47.77,47.77
SESHAPAPER,19.77,19.77
SMLISUZU,31.54,31.54
SUNDRMFAST,38.24,38.24
FACT,606.47,733.87
EXIDEIND,39.68,39.68
ELECON,24.23,27.95
CRISIL,45.97,45.97
LMW,153.67,152.69
NELCO,308.88,308.88
MASTEK,16.80,17.00
MAHSCOOTER,82.07,102.22
LUMAXIND,62.06,62.06
TRENT,108.93,108.93
KECL,375.97,
CUMMINSIND,58.45,58.75
KCP,8.61,7.95
JAYBARMARU,21.00,21.00
JBCHEPHARM,37.95,37.95
INFY,22.72,22.72
INDIAGLYCO,31.33,31.33
IONEXCHANG,27.60,27.60
IFBIND,55.20,55.20
IGPL,21.12,21.12
HIMATSEIDE,22.14,8.33
GNFC,13.36,13.36
BPCL,9.63,9.49
BHARATFORG,56.90,56.72
BASF,49.61,50.40
FORCEMOT,24.28,34.47
ATUL,34.66,34.66
ARVIND,19.67,19.67
ACC,14.54,15.06
TATAMOTORS,11.43,11.14
SCI,12.34,12.34
LINDEINDIA,119.37,119.37
HINDPETRO,8.87,8.87
ESCORTS,31.92,33.54
RELINFRA,1.09,1.26
BAJAJHLDNG,67.73,208.20
ASHOKLEY,23.36,23.47
VOLTAS,59.83,59.83
TITAN,84.51,84.51
TATASTEEL,52.88,49.15
SUNDARMFIN,27.01,27.01
SPIC,14.62,14.62
VEDL,9.42,10.42
SBIN,10.07,10.07
RELIANCE,19.79,19.79
PFIZER,31.28,37.42
NOCIL,33.15,33.15
BOSCHLTD,42.68,51.30
DRREDDY,18.40,18.40
BATAINDIA,70.80,67.40
DEEPAKFERT,18.95,18.95
CHAMBLFERT,12.36,12.36
CARBORUNIV,87.21,120.79
MAHSEAMLES,8.80,8.77
HINDOILEXP,14.57,18.59
DICIND,30.08,31.09
COROMANDEL,28.64,32.62
BALMLAWRIE,16.97,16.97
WILLAMAGOR,1.35,1.35
VINDHYATEL,21.11,21.11
MOTOGENFIN,136.61,136.61
ASIANPAINT,64.20,59.89
RAMCOCEM,75.16,208.87
INDIACEM,,525.20
PGHL,33.79,33.79
BEML,61.01,61.01
ADOR,49.99,42.04
CENTENKA,17.77,17.77
TATACHEM,65.71,47.62
TORNTPHARM,59.48,58.97
VTL,14.28,14.28
SUNDROP,,71.34
FEDERALBNK,12.76,12.76
EPL,16.71,16.57
VLSFINANCE,30.74,30.74
SUPREMEIND,69.26,69.26
SRF,63.13,63.13
BIRLACABLE,76.76,76.76
BALRAMCHIN,25.08,25.08
AEGISLOG,35.38,35.38
WEIZMANIND,20.12,20.12
UNICHEMLAB,25.76,25.76
BBOX,45.46,35.60
HONAUT,62.48,62.48
JTEKTINDIA,59.47,59.93
SAURASHCEM,84.03,216.09
RANEHOLDIN,10.22,62.76
PRECOT,9.65,9.65
TATAELXSI,44.74,44.74
SUNPHARMA,38.45,34.78
KOHINOOR,0.33,
SHREYANIND,5.78,5.78
SANDESH,10.40,10.49
HCC,15.18,
APOLLOHOSP,69.13,69.13
ARE&M,21.22,23.29
ADANIENT,70.79,83.65
IVP,18.72,18.72
BALKRISIND,29.51,29.51
INDBANK,24.45,24.45
GINNIFILA,19.85,16.17
EICHERMOT,45.62,45.62
GVT&D,101.37,101.37
NEULANDLAB,118.84,159.48
ONGC,7.67,7.65
ZENSARTECH,26.25,26.25
TAINWALCHM,27.50,27.50
BERGEPAINT,56.24,54.87
BANARISUG,37.61,37.61
JINDALPOLY,,45.33
ANIKINDS,83.42,83.42
KPIL,30.85,30.85
JYOTISTRUC,41.04,41.04
IGARASHI,90.69,90.69
BSL,26.77,26.77
BLUEDART,52.98,52.98
JAYNECOIND,29.38,29.38
MUNJALSHOW,19.65,19.65
APCOTEXIND,32.13,32.13
SOTL,21.63,21.63
HSCL,37.80,37.80
RCF,28.20,28.48
RANASUG,6.10,6.10
KARURVYSYA,10.89,10.89
DECCANCE,70.84,70.84
ARENTERP,179.30,179.30
UFLEX,13.15,10.21
TATAPOWER,29.65,28.71
ADVANIHOTR,21.64,21.64
THOMASCOOK,29.62,28.94
SUNFLAG,24.47,24.47
SUBROS,44.03,44.03
SPMLINFRA,36.25,36.25
SIMPLEXINF,90.31,209.56
SIEMENS,53.87,53.87
BHARATRAS,28.21,26.22
WIPRO,19.06,19.06
VSTIND,14.90,20.72
JUBLPHARMA,38.20,36.15
UNIVCABLES,37.36,37.36
TATACOMM,35.80,55.26
TOKYOPLAST,119.15,119.15
SOMANYCERA,34.64,33.86
MURUDCERA,25.72,25.72
IFCI,30.62,30.38
HLVLTD,35.27,36.68
SANOFI,29.89,30.41
M&M,32.56,32.56
LIBERTSHOE,46.35,41.43
KAJARIACER,57.89,57.89
KABRAEXTRU,39.89,58.05
HEIDELBERG,39.12,39.12
MODTHREAD,51.49,51.49
MANGLMCEM,33.52,33.52
PRSMJOHNSN,191.94,
POLYPLEX,15.61,15.61
PIDILITIND,69.85,69.26
PCBL,35.16,35.13
3PLAND,36.77,36.77
OSWALAGRO,7.86,7.86
EIHAHOTELS,24.57,23.49
HONDAPOWER,37.25,37.25
JINDALSAW,9.20,9.20
SAIL,21.20,21.07
RUBYMILLS,16.12,16.12
STYRENIX,18.42,18.42
ABB,60.65,60.65
IDBI,12.73,12.73
GRAPHITE,30.50,30.50
CANFINHOME,12.11,12.11
BRITANNIA,63.95,63.94
BBL,26.21,26.21
ELECTCAST,10.14,10.14
DHAMPURSUG,17.47,17.47
DCMSHRIRAM,29.46,29.46
DABUR,49.32,49.32
COSMOFIRST,16.25,16.25
CIPLA,23.36,23.36
HEROMOTOCO,24.57,24.57
HDFCBANK,20.82,20.55
HARRMALAYA,14.12,14.12
GMBREW,16.55,16.55
GIPCL,13.99,13.99
ITC,24.78,24.78
INDIANHUME,3.40,21.85
HINDCOMPOS,19.30,14.15
IOC,15.08,17.23
OSWALGREEN,95.63,95.63
HUHTAMAKI,23.77,24.53
RICOAUTO,36.97,35.64
KAMATHOTEL,17.92,17.90
IFBAGRO,28.77,28.77
BANCOINDIA,26.08,26.08
MANINDS,17.40,17.40
APOLLOTYRE,37.07,39.25
SIYSIL,17.13,17.13
SHANTIGEAR,40.88,40.88
PRECWIRE,39.35,39.35
ONWARDTEC,21.32,21.32
NILKAMAL,24.72,24.72
NCC,15.59,15.59
ICIL,26.06,26.06
SEAMECLTD,19.57,19.60
ELGIEQUIP,42.22,42.22
AUROPHARMA,19.32,19.32
BBTC,6.33,6.41
EIHOTEL,36.53,31.70
LICHSGFIN,5.72,5.72
GICHSGFIN,7.20,6.73
BEPL,14.51,14.51
BANARBEADS,30.78,30.78
MOREPENLAB,28.76,28.76
WSTCSTPAPR,11.27,11.27
EASTSILK,7.22,7.22
VENKEYS,36.40,36.40
GHCL,9.78,9.78
S&SPOWER,2560.60,252.78
PRUDMOULI,14.24,14.24
PRAJIND,44.95,44.95
BPL,,6.26
TRANSWORLD,22.41,14.70
KEEPLEARN,89.87,89.87
PGHH,55.54,55.54
VESUVIUS,40.65,40.65
TFCILTD,31.21,31.21
BOMDYEING,7.28,208.83
NAVNETEDUL,16.36,18.22
GUJALKALI,85.25,85.25
AGI,16.46,16.46
GLAXO,49.03,49.21
TATACONSUM,78.25,78.89
ZEEL,15.06,13.88
CHOLAFIN,31.14,31.14
INDHOTEL,50.50,57.74
FMGOETZE,15.23,15.23
KOTAKBANK,22.55,22.55
LYKALABS,45.95,45.95
ORIENTHOT,45.78,45.78
JAYSREETEA,3.51,7.24
GILLETTE,54.89,54.89
GOLDENTOBC,8.69,9.85
KANSAINER,18.06,33.45
FOSECOIND,42.96,42.96
ESABINDIA,43.93,43.93
3MINDIA,65.63,65.63
ANDHRAPAP,18.95,18.95
GABRIEL,71.95,71.95
SCHAEFFLER,62.06,62.06
AARTIIND,58.31,59.10
RALLIS,33.33,33.45
AMJLAND,10.93,10.93
PRAKASH,8.12,8.12
MFSL,164.93,164.93
KSB,57.46,57.46
KOPRAN,23.65,23.65
HEG,54.60,54.60
GREAVESCOT,325.37,
GODFRYPHLP,51.84,51.84
VARDMNPOLY,15.84,15.84
SURYAROSNI,21.28,21.28
TATAINVEST,2337.52,2337.52
GLFL,271.26,271.26
TIMKEN,48.41,48.41
SUDARSCHEM,133.21,
SHREECEM,71.76,71.76
SAKHTISUG,11.40,18.40
IPCALAB,40.80,37.93
INGERRAND,46.75,46.75
AKZOINDIA,37.46,37.46
HINDALCO,10.22,9.99
HINDZINC,20.86,20.73
HINDUNILVR,54.06,54.87
GSFC,12.02,12.11
GRASIM,22.80,22.42
AMBUJACEM,26.28,26.34
FINPIPE,33.53,33.53
FINCABLES,21.38,23.17
EIDPARRY,8.99,10.39
DCW,57.12,57.12
DCM,67.76,67.76
CGPOWER,111.69,111.69
HEUBACHIND,19.03,17.02
CESC,15.68,15.68
BIRLACORPN,23.73,22.04
BHEL,353.52,353.52
BHARATGEAR,26.20,
BEL,54.74,54.74
BAJFINANCE,36.62,36.62
ASHAPURMIN,20.02,20.02
PVP,,2854.13
NAVA,12.68,12.68
CORALFINAC,11.66,11.66
GREENPLY,29.41,30.32
PARASPETRO,1599.69,1599.69
AUTOAXLES,16.39,16.39
REMSONSIND,23.14,22.25
DALMIASUG,7.96,7.96
NATCOPHARM,8.87,8.87
KHAITANLTD,9.56,9.56
SWARAJENG,30.66,30.66
MRF,36.99,36.99
GARFIBRES,31.32,31.32
ANDHRSUGAR,21.68,15.59
TNPETRO,12.68,13.90
TTKPRESTIG,94.03,43.63
STARPAPER,6.44,6.44
