SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,56.65,56.65
WHEELS,18.73,18.73
RIIL,135.71,135.71
PREMIERPOL,18.33,18.33
RAYMOND,18.33,18.33
SHREDIGCEM,47.87,47.87
SESHAPAPER,20.24,20.24
SMLISUZU,32.31,32.31
SUNDRMFAST,38.92,38.92
FACT,617.63,747.38
EXIDEIND,39.83,39.83
ELECON,26.46,30.52
CRISIL,46.12,46.12
LMW,151.97,151.00
NELCO,319.60,319.60
MASTEK,17.12,17.33
MAHSCOOTER,79.28,98.76
LUMAXIND,63.47,63.47
TRENT,111.16,111.16
KECL,359.53,
CUMMINSIND,58.25,58.54
KCP,8.79,8.11
JAYBARMARU,22.63,22.63
JBCHEPHARM,37.91,37.91
INFY,22.46,22.46
INDIAGLYCO,29.65,29.65
IONEXCHANG,28.09,28.09
IFBIND,54.83,54.83
IGPL,21.67,21.67
HIMATSEIDE,22.22,8.36
GNFC,13.31,13.31
BPCL,9.79,9.64
BHARATFORG,57.29,57.11
BASF,51.02,51.84
FORCEMOT,24.58,34.90
ATUL,35.01,35.01
ARVIND,20.31,20.31
ACC,14.26,14.77
TATAMOTORS,12.32,12.01
SCI,12.01,12.01
LINDEINDIA,118.75,118.75
HINDPETRO,8.96,8.96
ESCORTS,31.56,33.16
RELINFRA,1.13,1.30
BAJAJHLDNG,64.70,198.90
ASHOKLEY,23.42,23.53
VOLTAS,59.31,59.31
TITAN,81.92,81.92
TATASTEEL,51.98,48.31
SUNDARMFIN,27.35,27.35
SPIC,15.35,15.35
VEDL,9.25,10.24
SBIN,9.97,9.97
RELIANCE,19.79,19.79
PFIZER,29.55,35.35
NOCIL,32.39,32.39
BOSCHLTD,42.97,51.66
DRREDDY,18.20,18.20
BATAINDIA,75.19,71.58
DEEPAKFERT,19.81,19.81
CHAMBLFERT,12.81,12.81
CARBORUNIV,86.31,119.54
MAHSEAMLES,9.03,9.00
HINDOILEXP,15.16,19.35
DICIND,32.03,33.11
COROMANDEL,30.34,34.55
BALMLAWRIE,17.48,17.48
WILLAMAGOR,1.39,1.39
VINDHYATEL,21.34,21.34
MOTOGENFIN,136.25,136.25
ASIANPAINT,64.54,60.20
RAMCOCEM,72.83,202.39
INDIACEM,,526.94
PGHL,34.24,34.24
BEML,60.76,60.76
ADOR,48.60,40.88
CENTENKA,18.18,18.18
TATACHEM,66.88,48.46
TORNTPHARM,59.61,59.10
VTL,14.45,14.45
SUNDROP,,73.66
FEDERALBNK,11.60,11.60
EPL,17.32,17.17
VLSFINANCE,31.36,31.36
SUPREMEIND,67.76,67.76
SRF,60.91,60.91
BIRLACABLE,80.80,80.80
BALRAMCHIN,25.25,25.25
AEGISLOG,36.25,36.25
WEIZMANIND,19.84,19.84
UNICHEMLAB,26.21,26.21
BBOX,46.44,36.37
HONAUT,61.35,61.35
JTEKTINDIA,62.86,63.35
SAURASHCEM,85.66,220.28
RANEHOLDIN,11.01,67.62
PRECOT,9.99,9.99
TATAELXSI,45.09,45.09
SUNPHARMA,38.13,34.49
KOHINOOR,0.33,
SHREYANIND,5.87,5.87
SANDESH,10.46,10.55
HCC,14.88,
APOLLOHOSP,69.05,69.05
ARE&M,21.40,23.48
ADANIENT,72.08,85.17
IVP,17.76,17.76
BALKRISIND,30.55,30.55
INDBANK,22.66,22.66
GINNIFILA,20.04,16.32
EICHERMOT,45.41,45.41
GVT&D,105.30,105.30
NEULANDLAB,110.45,148.22
ONGC,7.73,7.70
ZENSARTECH,25.49,25.49
TAINWALCHM,27.97,27.97
BERGEPAINT,56.04,54.68
BANARISUG,37.12,37.12
JINDALPOLY,,44.37
ANIKINDS,78.64,78.64
KPIL,30.68,30.68
JYOTISTRUC,42.96,42.96
IGARASHI,86.94,86.94
BSL,26.53,26.53
BLUEDART,54.31,54.31
