SYMBOL,SYMBOL P/E,ADJUSTED P/E
COSMOFIRST,20.93,20.93
HEROMOTOCO,21.17,21.17
GMBREW,12,12
ITC,27.7,27.69
HINDCOMPOS,26.58,26.58
OSWALGREEN,151.89,151.89
HUHTAMAKI,5.67,30.35
RICOAUTO,31.78,30.98
IFBAGRO,224.13,224.13
MANINDS,22.49,22.49
SIYSIL,19.68,19.68
PRECWIRE,41.19,41.19
NCC,21.91,21.4
SEAMECLTD,18.18,19.16
BBTC,8.61,8.44
GICHSGFIN,7.2,7.2
BANARBEADS,29.84,29.84
WSTCSTPAPR,7.55,7.55
GHCL,13.38,13.38
EVERESTIND,121.97,162.17
TRANSWORLD,167.2,167.2
PGHH,75.85,75.85
TFCILTD,16.91,16.91
NAVNETEDUL,4.18,15.41
AGI,28.2,28.2
TATACONSUM,72.53,61.41
CHOLAFIN,29.44,29.44
FMGOETZE,16.28,16.28
ORIENTHOT,77.39,77.39
KANSAINER,34.76,34.76
3MINDIA,59.19,59.19
ANDHRAPAP,10.5,10.5
AMJLAND,20.24,20.24
KOPRAN,18.79,18.79
GODFRYPHLP,43.55,41.23
SUDARSCHEM,59.4,57.24
AKZOINDIA,37.29,37.29
HINDUNILVR,53.57,53.51
AMBUJACEM,36.5,37.37
DCM,42.97,42.97
HEUBACHIND,35.32,35.32
BHEL,504.21,504.21
PVP,11.43,
NAVA,9.84,10.59
PEARLPOLY,38.75,38.75
KHAITANLTD,10.16,10.16
ANDHRSUGAR,40.21,37.44
STARPAPER,6.06,5.91
AUSOMENT,14.77,14.77
SAMBHAAV,39.46,44.58
SANGAMIND,54.54,46.5
MOTHERSON,31.42,31.42
STERTOOLS,36.39,36.39
WENDT,83.26,83.26
ELECTHERM,4.75,4.92
JAGSNPHARM,72.33,65.46
MPHASIS,37.92,37.92
INDRAMEDCO,29.97,29.97
MADRASFERT,20.69,12.62
CONCOR,39.92,39.11
ENGINERSIN,41.04,41.04
JAICORPLTD,97.02,97.02
GMDCLTD,18.1,18.1
ASAHIINDIA,60.79,60.79
J&KBANK,5.66,5.66
SOUTHBANK,5.6,5.6
ASTRAZEN,202.95,92.2
CYIENT,33.9,32.19
GOACARBON,19.1,19.1
SANGHVIMOV,16.29,16.29
RSSOFTWARE,22.66,22.66
NATIONALUM,13.38,14.88
JINDALSTEL,20.17,20.17
ICDSLTD,51.71,51.71
BSOFT,27.25,27.25
ACCELYA,24.96,25.02
STAR,21.88,20.34
ZYDUSLIFE,22.86,22.86
RAJESHEXPO,182.75,182.75
SHREERAMA,40.25,40.25
NRBBEARING,11.14,28.14
GEPIL,145.12,145.12
BLBLIMITED,10.09,10.09
BLUESTARCO,80.42,80.42
PNBGILTS,9.77,10.05
REPRO,318.43,318.43
HAVELLS,78.17,78.17
AXISCADES,52.82,52.57
TIPSMUSIC,68.73,68.73
KHANDSE,66.41,66.41
MARKSANS,40.5,40.5
ACLGATI,153.05,
UNITDSPR,78.15,77.04
ASAL,54.49,54.49
APTECHT,51.01,44.53
OFSS,42.08,42.08
OMAXAUTO,7.48,
RADICO,112.56,112.56
NSIL,52.53,52.53
WELSPUNLIV,23.29,23.29
SIL,47.64,47.64
VAIBHAVGBL,42.58,40.7
POONAWALLA,66.76,66.76
RKFORGE,47.6,47.51
APARINDS,47.24,47.24
TCS,33.82,33.31
COFORGE,72.77,73.56
INDSWFTLTD,2.91,2.91
PATELENG,14.75,18.19
EVEREADY,36.59,36.59
ALLDIGI,19.73,24.23
MANGALAM,19.76,19.76
SSWL,5.09,15.22
JKPAPER,10.1,10.1
GRANULES,29.32,29.32
GEOJITFSL,19.19,19.19
SPLIL,14.98,14.97
SASKEN,48.28,48.28
AURIONPRO,58.04,58.04
NAHARINDUS,30.17,28.79
ORIENTCER,38.95,44.14
VIMTALABS,39.95,39.95
ROHLTD,21.7,21.7
GSPL,10.06,10.27
JKCEMENT,43.59,49.93
M&MFIN,16.32,16.32
KEI,69.54,69.52
SOLARINDS,91.14,91.14
SUNTV,15.6,15.6
KAMDHENU,24.06,24.06
EMAMILTD,33.93,33.71
ATLANTAA,1.91,5.33
SELAN,23.05,23.05
HOVS,29.56,29.56
GEECEE,17.74,17.74
FIEMIND,22.45,22.45
VENUSREM,20.6,20.6
PLASTIBLEN,19.95,19.95
HBLPOWER,61.96,58.18
VEEDOL,25.25,25.25
LUMAXTECH,20.61,20.61
AUTOIND,22.43,23.57
UNOMINDA,76.68,79.08
TIIL,26.35,25.7
REDINGTON,13.99,13.99
PAGEIND,85.17,85.17
JKTYRE,14.78,14.23
THEMISMED,78.41,78.41
NDLVENTURE,360.76,360.76
ZENITHSTL,17.95,17.95
WEBELSOLAR,,111.54
INSECTICID,16.95,16.95
NELCAST,22.95,36.37
