SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,64.44,64.44
WHEELS,17.11,17.11
RIIL,142.43,142.43
PREMIERPOL,22.01,22.01
RAYMOND,15.70,15.70
SHREDIGCEM,47.22,47.22
SESHAPAPER,17.76,17.76
SMLISUZU,22.76,22.76
SUNDRMFAST,39.00,39.00
FACT,1642.87,4075.54
EXIDEIND,41.03,41.03
ELECON,38.02,38.02
CRISIL,55.18,55.18
LMW,170.74,170.74
PEL,73.69,
NELCO,219.84,219.84
MASTEK,19.07,19.31
MAHSCOOTER,71.57,95.78
LUMAXIND,42.06,42.06
TRENT,137.24,137.24
KECL,219.81,
CUMMINSIND,53.08,53.08
KCP,10.52,9.55
JAYBARMARU,27.36,27.36
JBCHEPHARM,39.98,39.98
INFY,23.96,23.96
INDIAGLYCO,32.14,32.14
IONEXCHANG,38.35,38.35
IFBIND,45.99,45.99
IGPL,13.55,13.55
HIMATSEIDE,24.77,10.14
GNFC,13.85,13.85
BPCL,11.19,10.94
BHARATFORG,66.24,60.26
BASF,46.95,48.61
FORCEMOT,19.56,28.76
ATUL,42.91,42.91
ARVIND,24.78,24.78
ACC,14.70,15.22
TATAMOTORS,11.27,11.04
SCI,11.74,11.74
MRPL,880.29,880.29
LINDEINDIA,142.28,142.28
HINDPETRO,12.48,12.48
ESCORTS,31.32,31.29
RELINFRA,1.60,1.85
BAJAJHLDNG,296.34,296.34
ASHOKLEY,20.69,20.80
VOLTAS,42.32,42.32
TITAN,93.66,93.66
TATASTEEL,65.85,56.63
SUNDARMFIN,30.62,30.62
SPIC,14.52,14.52
VEDL,8.26,9.11
SBIN,9.15,9.15
RELIANCE,23.54,23.54
PFIZER,33.93,41.02
NOCIL,31.71,31.71
BOSCHLTD,45.94,45.96
DRREDDY,18.26,18.26
BATAINDIA,47.74,67.78
DEEPAKFERT,20.58,20.58
CHAMBLFERT,14.83,14.83
CARBORUNIV,73.33,94.28
MAHSEAMLES,11.48,11.48
HINDOILEXP,15.25,15.25
DICIND,30.24,31.16
COROMANDEL,32.38,37.30
BALMLAWRIE,18.49,18.49
VINDHYATEL,23.38,23.38
MOTOGENFIN,127.48,127.48
ASIANPAINT,60.62,56.62
RAMCOCEM,87.03,360.76
PGHL,40.34,38.88
ABREL,,831.37
BEML,61.69,61.69
ADOR,30.83,27.44
CENTENKA,15.09,15.09
TATACHEM,115.33,69.03
TORNTPHARM,55.52,55.02
VTL,16.92,16.92
SUNDROP,,92.25
FEDERALBNK,12.36,12.36
EPL,21.13,20.93
VLSFINANCE,17.73,17.73
SUPREMEIND,63.34,63.34
SRF,70.01,70.01
BIRLACABLE,111.83,111.83
BALRAMCHIN,29.84,29.84
AEGISLOG,39.09,39.09
WEIZMANIND,23.02,23.02
UNICHEMLAB,28.18,28.18
BBOX,47.31,36.34
HONAUT,65.47,65.47
JTEKTINDIA,46.98,47.32
SAURASHCEM,142.61,
RANEHOLDIN,11.62,109.97
PRECOT,14.13,14.13
TATAELXSI,50.84,50.84
SUNPHARMA,36.44,34.83
KOHINOOR,0.39,
SHREYANIND,6.11,6.11
SANDESH,11.44,11.52
HCC,21.89,
APOLLOHOSP,66.54,66.54
ARE&M,19.48,21.19
ADANIENT,58.47,67.19
IVP,16.02,16.02
BALKRISIND,28.61,28.61
INDBANK,18.58,18.58
GINNIFILA,79.09,79.09
EICHERMOT,36.39,36.39
RAJSREESUG,19.99,19.99
GVT&D,98.49,98.49
NEULANDLAB,58.30,76.03
ONGC,7.80,7.78
ZENSARTECH,28.75,28.75
TIL,884.92,884.92
TAINWALCHM,40.03,40.03
BERGEPAINT,56.68,56.68
BANARISUG,47.24,47.24
JINDALPOLY,10.21,17.29
ANIKINDS,100.92,100.92
KPIL,35.48,35.48
JYOTISTRUC,64.59,64.59
IGARASHI,63.83,63.83
BLUEDART,60.14,60.14
JAYNECOIND,34.39,34.39
MUNJALSHOW,19.21,19.21
APCOTEXIND,36.52,36.52
SOTL,25.75,25.75
HSCL,42.06,42.06
RCF,36.60,37.02
RANASUG,6.17,6.17
KARURVYSYA,9.77,9.77
DECCANCE,133.86,133.86
ARENTERP,62.97,62.97
UFLEX,31.92,9.83
TATAPOWER,31.42,30.36
ADVANIHOTR,21.29,21.29
THOMASCOOK,31.83,31.11
SUNFLAG,29.26,29.26
SUBROS,32.72,32.72
SPMLINFRA,28.58,28.58
SIMPLEXINF,183.40,
SIEMENS,45.67,45.67
BHARATRAS,29.73,29.73
WIPRO,19.56,19.56
VSTIND,16.45,22.96
JUBLPHARMA,22.36,38.38
UNIVCABLES,45.61,45.61
TATACOMM,30.87,49.40
TOKYOPLAST,106.08,106.08
SOMANYCERA,33.08,32.40
MURUDCERA,25.22,25.22
IFCI,50.86,50.49
HLVLTD,35.61,39.13
SANOFI,37.87,35.49
M&M,30.22,30.22
LIBERTSHOE,52.79,47.67
KAJARIACER,49.84,49.84
KABRAEXTRU,29.95,38.20
HEIDELBERG,41.23,41.23
MODTHREAD,48.40,48.40
MANGLMCEM,48.34,48.34
PRSMJOHNSN,265.07,
POLYPLEX,11.80,11.80
PIDILITIND,75.01,74.35
PCBL,35.93,35.89
3PLAND,42.53,42.53
OSWALAGRO,11.74,11.74
EIHAHOTELS,25.52,24.62
HONDAPOWER,37.61,37.61
JINDALSAW,9.40,9.40
SAIL,28.53,22.47
RUBYMILLS,16.42,16.42
STYRENIX,24.47,24.47
ABB,67.77,67.77
IDBI,13.95,13.95
GRAPHITE,23.69,23.69
CANFINHOME,12.16,12.16
BRITANNIA,61.36,60.85
BBL,24.46,24.46
ELECTCAST,9.23,9.23
DHAMPURSUG,18.30,18.30
DCMSHRIRAM,27.66,27.66
DABUR,49.51,49.51
COSMOFIRST,23.73,23.73
CIPLA,22.49,22.49
HEROMOTOCO,18.55,18.55
HDFCBANK,20.42,20.16
HARRMALAYA,27.40,27.40
GMBREW,12.56,12.56
GIPCL,14.42,14.42
ITC,25.99,25.98
INDIANHUME,3.96,23.31
HINDCOMPOS,20.24,14.98
IOC,16.56,19.49
OSWALGREEN,134.60,134.60
HUHTAMAKI,17.60,26.20
RICOAUTO,48.95,47.07
KAMATHOTEL,14.65,15.23
IFBAGRO,31.96,31.96
BANCOINDIA,20.27,20.27
MANINDS,16.54,16.54
APOLLOTYRE,26.38,23.78
SIYSIL,16.44,16.44
SHANTIGEAR,38.91,38.91
PRECWIRE,36.66,36.66
ONWARDTEC,25.45,25.45
NILKAMAL,26.37,26.37
NCC,17.14,17.14
ICIL,22.64,22.64
SEAMECLTD,26.61,29.39
ELGIEQUIP,48.60,48.60
AUROPHARMA,18.90,18.90
BBTC,6.85,6.82
EIHOTEL,32.96,32.00
LICHSGFIN,6.15,6.15
GICHSGFIN,6.41,6.07
BEPL,16.14,16.14
BANARBEADS,25.10,25.10
MOREPENLAB,29.98,29.98
WSTCSTPAPR,9.53,9.53
21STCENMGM,5.80,5.80
VENKEYS,19.44,19.44
GHCL,9.62,9.62
PRUDMOULI,18.72,18.72
PRAJIND,40.80,45.38
BIRLANU,,907.91
BPL,4308.10,5.79
TRANSWORLD,18.95,13.81
KEEPLEARN,181.02,181.02
PGHH,61.26,61.26
VESUVIUS,45.44,45.44
TFCILTD,20.01,20.01
BOMDYEING,6.45,169.66
NAVNETEDUL,4.08,18.30
GUJALKALI,270.08,270.08
AGI,17.00,17.00
GLAXO,59.27,59.48
TATACONSUM,79.90,79.84
ZEEL,18.26,16.36
CHOLAFIN,30.92,30.92
INDHOTEL,55.23,63.54
FMGOETZE,14.60,14.60
KOTAKBANK,18.52,21.31
LYKALABS,53.17,53.17
ORIENTHOT,68.40,68.40
JAYSREETEA,3.86,7.95
GILLETTE,66.31,66.31
GOLDENTOBC,9.26,10.50
KANSAINER,18.25,33.55
FOSECOIND,39.46,39.46
ESABINDIA,43.78,43.78
3MINDIA,70.59,70.59
ANDHRAPAP,17.36,17.36
GABRIEL,38.16,38.16
SCHAEFFLER,68.43,68.43
AARTIIND,72.57,73.56
RALLIS,49.08,49.34
AMJLAND,12.15,12.15
PRAKASH,8.11,8.11
MFSL,128.84,128.84
KSB,62.23,62.23
KOPRAN,24.09,24.09
HEG,102.32,102.32
GODFRYPHLP,49.73,47.55
VARDMNPOLY,35.64,35.64
SURYAROSNI,21.08,21.08
TATAINVEST,161.23,161.23
GLFL,190.25,190.25
TIMKEN,54.57,54.57
SUDARSCHEM,76.83,112.01
SHREECEM,94.31,94.31
SAKHTISUG,3.89,8.21
IPCALAB,45.10,41.79
INGERRAND,44.85,44.85
AKZOINDIA,35.35,35.35
HINDALCO,8.88,8.54
HINDZINC,19.13,19.02
