SYMBOL,SYMBOL P/E,ADJUSTED P/E
APOLLOTYRE,23.25,22.00
SIYSIL,16.31,16.31
SHANTIGEAR,39.58,39.58
PRECWIRE,31.47,31.47
ONWARDTEC,24.65,24.65
NILKAMAL,24.97,24.97
NCC,16.64,16.24
ICIL,20.58,20.58
SEAMECLTD,21.05,22.95
ELGIEQUIP,45.65,45.65
AUROPHARMA,20.31,19.93
BBTC,6.29,6.13
EIHOTEL,32.24,32.55
LICHSGFIN,6.44,6.44
GICHSGFIN,5.53,5.53
BEPL,15.27,15.27
BANARBEADS,25.28,25.28
MOREPENLAB,27.94,27.94
WSTCSTPAPR,7.06,7.06
21STCENMGM,1.80,1.80
VENKEYS,19.71,19.71
GHCL,9.32,9.32
PRUDMOULI,25.14,23.03
PRAJIND,39.44,43.87
BIRLANU,,72.89
BPL,20.02,20.02
TRANSWORLD,15.79,15.79
KEEPLEARN,118.13,118.13
PGHH,63.41,63.41
VESUVIUS,38.44,38.44
TFCILTD,18.51,18.51
BOMDYEING,5.72,150.23
NAVNETEDUL,4.05,15.16
AGI,18.87,18.87
GLAXO,50.93,51.11
TATACONSUM,80.19,80.13
ZEEL,17.22,15.43
CHOLAFIN,31.17,31.17
INDHOTEL,55.24,63.55
FMGOETZE,12.59,12.59
KOTAKBANK,19.17,22.05
LYKALABS,104.75,103.94
ORIENTHOT,57.37,57.37
JAYSREETEA,9.10,42.73
GILLETTE,54.70,54.70
GOLDENTOBC,8.91,10.11
KANSAINER,20.90,42.02
FOSECOIND,35.26,35.26
ESABINDIA,43.93,43.93
3MINDIA,56.83,56.83
ANDHRAPAP,16.57,16.57
GABRIEL,39.02,39.02
SCHAEFFLER,65.79,65.79
AARTIIND,71.97,72.95
RALLIS,40.34,40.55
AMJLAND,13.18,13.18
PRAKASH,9.11,9.11
MFSL,109.85,109.85
KSB,59.57,59.57
KOPRAN,19.25,19.25
HEG,45.62,45.62
GODFRYPHLP,57.55,54.83
VARDMNPOLY,34.81,34.81
SURYAROSNI,19.26,19.26
TATAINVEST,147.08,147.08
GLFL,218.49,218.49
TIMKEN,53.38,53.38
SUDARSCHEM,71.12,103.68
SHREECEM,88.82,88.82
