SYMBOL,SYMBOL P/E,ADJUSTED P/E
ENGINERSIN,33.41,33.41
JAICORPLTD,,111.46
GMDCLTD,15.12,15.12
ASAHIINDIA,46.49,46.49
J&KBANK,8.05,8.05
SOUTHBANK,6.76,6.76
ASTRAZEN,101.43,92.12
CYIENT,27.84,26.03
GOACARBON,9.18,9.18
SANGHVIMOV,29.48,29.48
NATIONALUM,22.28,22.28
ALEMBICLTD,27.43,27.43
ICDSLTD,51.39,51.39
BSOFT,27.24,27.24
STAR,,39.11
ZYDUSLIFE,34.37,30.97
RAJESHEXPO,12.11,12.11
SHREERAMA,37.03,37.03
LCCINFOTEC,,70.52
NRBBEARING,12.88,30.05
BLBLIMITED,14.49,16.2
BLUESTARCO,78,78
CHENNPETRO,4.94,4.94
HAVELLS,87.67,87.67
BALAJITELE,23.92,23.92
ACLGATI,235.6,
ASAL,67.61,67.61
PONNIERODE,7.84,7.84
OFSS,30.83,30.83
BAGFILMS,13.84,13.84
WELSPUNLIV,21.14,21.14
TVSELECT,2224.57,2224.57
UNIENTER,27.28,27.28
PTC,11.69,11.69
MAHABANK,11.17,11.17
RKFORGE,37.6,37.58
EXCELINDUS,100.49,100.49
CENTEXT,22.01,20.94
TEXINFRA,320.26,320.26
INDOCO,30.58,32.59
JINDALPHOT,102.38,102.38
ALLSEC,24.03,24.03
SHOPERSTOP,104.15,96.09
SURYALAXMI,37.3,18.93
63MOONS,9.81,17.98
VHL,32.18,32.18
NECLIFE,153.56,153.56
IDFC,561.9,561.9
SUZLON,80.17,115.51
TRIVENI,18.04,18.04
ORIENTCER,30.3,35.24
EKC,12.88,12.77
ENIL,30.02,31.01
JAGRAN,11.35,11.35
M&MFIN,17.46,17.46
KEI,66.01,65.99
SOLARINDS,87.92,87.92
SUNTV,14.04,14.04
EMKAY,28.08,28.08
BALPHARMA,45.01,45.01
RATNAMANI,35.32,35.32
EMAMILTD,31.6,31.39
TECHM,53.48,53.55
ATLANTAA,.91,
SELAN,30.01,30.01
ANANTRAJ,48.61,48.61
GEECEE,77.82,77.82
JMFINANCIL,10.67,10.67
DCBBANK,7.56,7.56
TORNTPOWER,33.29,33.29
VENUSREM,14.22,14.22
PLASTIBLEN,19.81,19.81
PARACABLES,31.37,31.37
PTL,23.96,23.96
GANDHITUBE,20.93,20.93
UNOMINDA,62.82,62.82
ORIENTBELL,6592.26,6592.26
LAOPALA,27.02,27.02
ASTRAL,108.11,107.85
ICRA,34.02,34.02
AROGRANITE,36.75,36.75
NDLVENTURE,197.01,197.01
FORTIS,59.09,61.07
HILTON,29.38,29.38
V2RETAIL,101.14,101.14
ADSL,18.92,18.92
CIEINDIA,23.07,23.07
MOTILALOFS,14.25,14.25
MAGNUM,12.61,12.61
MAANALU,19.29,19.29
BAJAJELEC,78.47,78.47
EDELWEISS,14,14
RGL,13.96,13.96
HITECHCORP,17.17,17.17
BRIGADE,100.55,102.04
DVL,28.27,28.27
KAVVERITEL,1.11,1.08
BIRLAMONEY,14,14
JKIL,15.73,15.73
ONMOBILE,51.29,51.29
NAHARCAP,13.12,13.12
VGUARD,63.11,63.11
DPSCLTD,98.21,98.21
TITAGARH,56.53,56.2
BAJAJFINSV,16.34,16.34
DIGISPICE,94.47,28.72
RPGLIFE,28.12,28.12
RBL,17.91,17.51
UBL,122.26,122.26
ZFCVINDIA,62.4,62.4
JOCIL,52.8,52.8
ALKALI,78.48,73.99
AJMERA,26.62,26.62
EXCEL,51.02,51.02
EXPLEOSOL,20,20
SARDAEN,16.92,16.88
JSWENERGY,60.79,60.79
MMTC,217.27,400.49
NESTLEIND,95.28,95.63
EMMBI,19.35,19.35
MANAPPURAM,7.68,7.68
TI,26.97,33.31
BAJAJCON,21.68,21.68
ADFFOODS,34.59,34.59
DEEPAKNTR,42.23,42.23
CANTABIL,27.06,27.59
OBEROIRLTY,32.44,32.44
CGCL,49.99,49.99
JINDWORLD,94.16,94.16
JUBLINDS,99.96,26.39
HFCL,41.13,41.13
LOVABLE,42.46,42.46
SYMPHONY,46.63,46.25
VSTTILLERS,24.12,24.12
RUSHIL,19.64,19.64
THERMAX,91.49,101.13
RIIL,182.82,182.82
RAYMOND,22.05,21
SHREDIGCEM,17.93,17.93
SMLISUZU,35.89,35.89
SUNDRMFAST,48.02,48.02
LAXMIMACH,44.41,44.41
PEL,,31.42
MAHSCOOTER,43.79,43.79
TRENT,120.69,195.84
KCP,8.45,8.42
JBCHEPHARM,55.32,55.32
IONEXCHANG,38.04,38.04
IFBIND,114.55,114.55
HIMATSEIDE,11.65,11.65
GFLLIMITED,.36,
BHARATFORG,76.31,75.73
ARVIND,27.27,27.41
TATAMOTORS,10.01,9.78
LINDEINDIA,238.06,238.06
ESCORTS,40.11,40.11
ASHOKLEY,23.83,24.07
ZUARIIND,1.47,
TATASTEEL,,50.42
VEDL,21.37,32.02
RELIANCE,24.53,24.53
BATAINDIA,64.85,59.31
CARBORUNIV,72.45,72.45
DICIND,,98.65
RAMCOCEM,43.87,43.87
CENTURYTEX,104.65,39.53
TORNTPHARM,61.16,64.32
VLSFINANCE,3.73,3.73
SRF,50.39,50.39
BBOX,33.72,22.78
HONAUT,98.28,98.28
ARE&M,25.53,24.52
BALKRISIND,40.26,40.26
ONGC,6.89,6.16
TIL,21.64,
ANIKINDS,42.5,42.5
KPIL,37.75,37.75
BSL,14.75,13.03
APCOTEXIND,39.02,39.02
RCF,26.41,40.55
DECCANCE,19.29,19.29
ADVANIHOTR,28.3,28.3
SUBROS,47.62,47.62
SIEMENS,125.11,125.11
UNIVCABLES,80.5,80.5
SOMANYCERA,29.7,29.62
HLVLTD,72.62,84.52
LIBERTSHOE,95.52,90.35
KAJARIACER,45.6,45.58
MANGLMCEM,40.01,40.01
3PLAND,30.67,30.67
JINDALSAW,10.85,10.85
STYRENIX,18.87,18.87
ABB,120.33,120.33
BRITANNIA,57.9,57.84
DHAMPURSUG,10.66,10.66
COSMOFIRST,24.91,24.91
HEROMOTOCO,26.61,25.79
GMBREW,9.08,9.08
ITC,25.94,26.01
IOC,5.53,5.53
OSWALGREEN,99.77,99.77
HUHTAMAKI,5.7,22.28
RICOAUTO,37.5,36.18
