SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,65.82,65.82
WHEELS,17.95,17.95
RIIL,148.56,148.56
PREMIERPOL,20.81,20.81
RAYMOND,15.41,15.41
SHREDIGCEM,45.99,45.99
SESHAPAPER,18.56,18.56
SMLISUZU,22.28,22.28
SUNDRMFAST,38.83,38.83
FACT,1515.82,3760.38
EXIDEIND,41.32,41.32
ELECON,34.54,34.54
CRISIL,63.58,63.58
LMW,168.57,168.57
PEL,74.71,
NELCO,253.54,253.54
MASTEK,20.20,20.46
MAHSCOOTER,75.67,101.27
LUMAXIND,47.14,47.14
TRENT,149.94,149.94
KECL,252.96,
CUMMINSIND,53.81,53.81
KCP,10.45,9.48
JAYBARMARU,27.06,27.06
JBCHEPHARM,41.46,41.46
INFY,25.10,25.10
INDIAGLYCO,34.41,34.41
IONEXCHANG,37.55,37.55
IFBIND,46.52,46.52
IGPL,13.17,13.17
HIMATSEIDE,24.49,10.02
GNFC,13.82,13.82
BPCL,11.91,11.64
BHARATFORG,67.07,61.02
BASF,45.33,46.93
FORCEMOT,22.98,33.79
ATUL,44.24,44.24
ARVIND,25.12,25.12
ACC,14.72,15.24
TATAMOTORS,10.93,10.71
SCI,12.74,12.74
MRPL,891.09,891.09
LINDEINDIA,125.59,125.59
HINDPETRO,13.05,13.05
ESCORTS,32.04,32.00
RELINFRA,1.95,2.26
BAJAJHLDNG,312.37,312.37
ASHOKLEY,21.81,21.93
VOLTAS,45.38,45.38
TITAN,98.31,98.31
TATASTEEL,67.18,57.78
SUNDARMFIN,29.83,29.83
SPIC,14.70,14.70
VEDL,8.67,9.57
SBIN,9.00,9.00
RELIANCE,25.05,25.05
PFIZER,33.84,40.90
NOCIL,30.46,30.46
BOSCHLTD,47.20,47.23
DRREDDY,19.34,19.34
BATAINDIA,47.54,67.49
DEEPAKFERT,21.31,21.31
CHAMBLFERT,14.73,14.73
CARBORUNIV,72.29,92.95
MAHSEAMLES,12.89,12.89
HINDOILEXP,15.37,15.37
DICIND,30.55,31.48
COROMANDEL,31.87,36.72
BALMLAWRIE,18.52,18.52
VINDHYATEL,23.74,23.74
MOTOGENFIN,123.34,123.34
ASIANPAINT,61.54,57.48
RAMCOCEM,92.56,383.68
PGHL,38.69,37.37
ABREL,,908.29
BEML,63.33,63.33
ADOR,31.68,28.19
CENTENKA,16.50,16.50
TATACHEM,119.13,71.30
TORNTPHARM,57.07,56.56
VTL,16.75,16.75
SUNDROP,,86.73
FEDERALBNK,12.29,12.29
EPL,20.97,20.78
VLSFINANCE,18.20,18.20
SUPREMEIND,66.09,66.09
SRF,74.29,74.29
BIRLACABLE,112.00,112.00
BALRAMCHIN,29.58,29.58
AEGISLOG,36.79,36.79
WEIZMANIND,22.62,22.62
