SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,58.52,62.31
WHEELS,18.43,18.43
RIIL,98.42,98.42
PREMIERPOL,22.23,22.23
RAYMOND,29.28,8.29
RSWM,32.58,23.16
SHREDIGCEM,26.73,26.73
SESHAPAPER,21.33,21.33
SMLMAH,36.24,36.24
SUNDRMFAST,28.46,27.97
FACT,1818.21,4382.52
EXIDEIND,30.72,30.47
EUROTEXIND,6.38,6.38
ELECON,17.88,20.84
CRISIL,36.42,36.42
LMW,115.56,109.00
NELCO,,268.02
MASTEK,11.97,11.78
MAHSCOOTER,35.93,41.44
LUMAXIND,44.15,39.97
TRENT,78.31,77.37
KECL,55.18,32.03
CUMMINSIND,64.82,62.15
KCP,7.58,7.33
JAYBARMARU,11.63,10.98
JBCHEPHARM,42.79,42.79
INFY,18.48,17.91
INDIAGLYCO,26.30,26.22
IONEXCHANG,27.42,25.68
IFBIND,29.73,27.63
HIMATSEIDE,13.53,5.38
GNFC,9.35,9.35
GFLLIMITED,239.21,239.21
BPCL,5.47,5.38
BHARATFORG,69.39,67.06
BASF,37.51,38.14
FORCEMOT,19.76,28.14
ATUL,31.46,31.46
ARVIND,21.93,21.12
ACC,9.43,9.93
TMPV,49.47,14.85
SCI,9.94,9.94
MRPL,14.94,14.94
LINDEINDIA,111.71,111.71
HINDPETRO,4.81,4.81
ESCORTS,24.00,24.37
RELINFRA,0.25,0.31
BAJAJHLDNG,49.29,154.52
ASHOKLEY,24.62,22.62
VOLTAS,66.83,64.77
TITAN,75.75,73.98
TATASTEEL,27.57,25.76
SUNDARMFIN,25.80,25.15
SPIC,7.68,7.68
VEDL,15.98,14.62
SBIN,11.06,11.36
RELIANCE,19.02,19.02
PFIZER,26.01,29.15
NOCIL,46.02,43.50
BOSCHLTD,32.80,39.14
DRREDDY,18.33,18.33
BATAINDIA,45.37,42.05
DEEPAKFERT,14.22,14.22
CHAMBLFERT,10.05,10.05
CARBORUNIV,74.95,74.95
MAHSEAMLES,9.18,9.15
HINDOILEXP,15.27,21.94
DICIND,26.53,23.82
COROMANDEL,23.80,26.95
BALMLAWRIE,13.83,13.83
WILLAMAGOR,1.57,1.57
VINDHYATEL,70.54,70.54
MOTOGENFIN,58.08,58.08
ASIANPAINT,56.98,53.61
RAMCOCEM,39.10,198.03
INDIACEM,,57.34
PGHL,27.20,27.20
BEML,49.38,49.38
ADOR,23.60,21.84
CENTENKA,12.50,12.00
TATACHEM,87.83,47.72
TORNTPHARM,61.24,60.35
VTL,20.45,20.45
SUNDROP,,56.45
FEDERALBNK,15.71,15.71
EPL,17.13,16.59
VLSFINANCE,12.03,12.03
SUPREMEIND,63.47,63.47
SRF,42.57,41.31
BIRLACABLE,44.60,44.60
BALRAMCHIN,24.36,24.36
AEGISLOG,21.84,21.84
WEIZMANIND,12.29,12.29
UNICHEMLAB,7.12,25.71
BBOX,38.38,29.84
HONAUT,47.76,47.05
JTEKTINDIA,46.96,45.33
SAURASHCEM,21.47,24.02
RANEHOLDIN,17.09,14.08
PRECOT,15.97,15.97
TATAELXSI,44.29,40.76
SUNPHARMA,37.70,33.91
KOHINOOR,0.21,
SHREYANIND,5.40,5.40
SANDESH,6.00,5.91
HCC,11.73,12.55
APOLLOHOSP,57.70,57.23
ARE&M,17.59,19.07
ADANIENT,21.32,70.76
IVP,9.27,9.06
BALKRISIND,31.34,31.34
INDBANK,19.60,19.60
GINNIFILA,7.84,7.05
EICHERMOT,40.40,40.03
GVT&D,91.07,87.04
NEULANDLAB,90.34,90.34
ONGC,8.21,8.20
ZENSARTECH,16.54,16.11
TAINWALCHM,15.73,15.73
BERGEPAINT,48.41,45.44
BANARISUG,32.35,32.35
ANIKINDS,58.33,58.33
KPIL,22.89,22.28
JYOTISTRUC,24.80,24.80
IGARASHI,68.09,68.09
BSL,32.39,32.39
BLUEDART,45.71,39.88
JAYNECOIND,19.48,18.97
MUNJALSHOW,14.97,14.21
APCOTEXIND,21.49,21.61
SOTL,13.09,13.09
HSCL,32.07,32.07
RCF,20.35,20.53
RANASUG,5.26,5.86
KARURVYSYA,12.27,12.27
DECCANCE,25.88,25.88
UFLEX,8.90,10.59
TATAPOWER,27.19,27.28
ADVANIHOTR,19.54,19.10
THOMASCOOK,17.87,17.45
SUNFLAG,18.33,17.75
