SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,56.27,56.27
WHEELS,19.88,19.88
RIIL,139.97,139.97
PREMIERPOL,18.18,18.18
RAYMOND,18.20,18.20
SHREDIGCEM,47.90,47.90
SESHAPAPER,19.80,19.80
SMLISUZU,31.47,31.47
SUNDRMFAST,38.57,38.57
FACT,614.06,743.06
EXIDEIND,39.67,39.67
ELECON,26.65,30.73
CRISIL,46.54,46.54
LMW,149.83,148.88
NELCO,307.07,307.07
MASTEK,16.66,16.86
MAHSCOOTER,79.26,98.73
LUMAXIND,64.40,64.40
TRENT,107.42,107.42
KECL,354.35,
CUMMINSIND,57.80,58.09
KCP,8.97,8.28
JAYBARMARU,22.17,22.17
JBCHEPHARM,38.33,38.33
INFY,22.75,22.75
INDIAGLYCO,29.31,29.31
IONEXCHANG,27.24,27.24
IFBIND,56.18,56.18
IGPL,21.56,21.56
HIMATSEIDE,21.61,8.13
GNFC,13.26,13.26
BPCL,9.83,9.69
BHARATFORG,55.27,55.09
BASF,50.99,51.80
FORCEMOT,23.70,33.65
ATUL,34.76,34.76
ARVIND,19.88,19.88
ACC,14.51,15.03
TATAMOTORS,11.78,11.49
SCI,11.66,11.66
LINDEINDIA,118.18,118.18
HINDPETRO,8.98,8.98
ESCORTS,32.36,34.01
RELINFRA,1.07,1.24
BAJAJHLDNG,66.30,203.80
ASHOKLEY,23.70,23.80
VOLTAS,59.34,59.34
TITAN,85.28,85.28
TATASTEEL,52.55,48.84
SUNDARMFIN,26.66,26.66
SPIC,15.10,15.10
VEDL,9.29,10.28
SBIN,9.78,9.78
RELIANCE,19.68,19.68
PFIZER,29.35,35.11
NOCIL,32.71,32.71
BOSCHLTD,42.48,51.06
DRREDDY,17.99,17.99
BATAINDIA,74.00,70.45
DEEPAKFERT,19.71,19.71
CHAMBLFERT,12.64,12.64
CARBORUNIV,86.24,119.43
MAHSEAMLES,8.83,8.80
HINDOILEXP,14.66,18.70
DICIND,30.98,32.02
COROMANDEL,28.94,32.96
BALMLAWRIE,17.46,17.46
WILLAMAGOR,1.37,1.37
VINDHYATEL,20.95,20.95
MOTOGENFIN,135.74,135.74
ASIANPAINT,63.82,59.53
RAMCOCEM,74.25,206.33
INDIACEM,,518.84
PGHL,34.43,34.43
BEML,59.54,59.54
ADOR,48.57,40.85
CENTENKA,18.12,18.12
TATACHEM,65.52,47.48
TORNTPHARM,60.34,59.82
VTL,14.21,14.21
SUNDROP,,72.22
FEDERALBNK,12.13,12.13
EPL,17.13,16.98
VLSFINANCE,31.00,31.00
SUPREMEIND,67.47,67.47
SRF,61.58,61.58
BIRLACABLE,77.71,77.71
BALRAMCHIN,25.45,25.45
AEGISLOG,35.22,35.22
WEIZMANIND,19.54,19.54
UNICHEMLAB,25.25,25.25
BBOX,44.65,34.97
HONAUT,62.51,62.51
JTEKTINDIA,61.53,62.00
SAURASHCEM,84.18,216.48
RANEHOLDIN,10.56,64.85
PRECOT,9.95,9.95
TATAELXSI,45.64,45.64
SUNPHARMA,37.60,34.01
KOHINOOR,0.33,
SHREYANIND,5.81,5.81
SANDESH,10.45,10.54
HCC,14.95,
APOLLOHOSP,69.05,69.05
ARE&M,21.40,23.48
ADANIENT,70.70,83.54
IVP,18.97,18.97
BALKRISIND,30.39,30.39
INDBANK,23.97,23.97
GINNIFILA,19.99,16.28
EICHERMOT,45.56,45.56
GVT&D,102.44,102.44
NEULANDLAB,112.81,151.39
ONGC,7.60,7.58
ZENSARTECH,25.98,25.98
TAINWALCHM,27.40,27.40
BERGEPAINT,55.41,54.06
BANARISUG,36.61,36.61
JINDALPOLY,,44.18
ANIKINDS,78.84,78.84
KPIL,30.49,30.49
JYOTISTRUC,42.30,42.30
IGARASHI,91.58,91.58
BSL,26.36,26.36
BLUEDART,53.29,53.29
JAYNECOIND,29.12,29.12
MUNJALSHOW,21.74,21.74
APCOTEXIND,32.98,32.98
SOTL,21.17,21.17
HSCL,37.31,37.31
RCF,28.57,28.84
RANASUG,6.31,6.31
KARURVYSYA,10.85,10.85
DECCANCE,72.30,72.30
ARENTERP,171.35,171.35
UFLEX,13.18,10.23
TATAPOWER,29.22,28.29
ADVANIHOTR,21.40,21.40
THOMASCOOK,28.60,27.95
SUNFLAG,24.25,24.25
SUBROS,46.08,46.08
SPMLINFRA,38.15,38.15
SIMPLEXINF,90.83,210.76
SIEMENS,56.30,56.30
BHARATRAS,28.76,26.74
WIPRO,18.99,18.99
VSTIND,15.03,20.91
JUBLPHARMA,37.80,35.78
UNIVCABLES,38.21,38.21
TATACOMM,33.63,51.91
TOKYOPLAST,116.13,116.13
SOMANYCERA,35.21,34.41
MURUDCERA,25.95,25.95
IFCI,31.82,31.57
HLVLTD,35.58,37.01
SANOFI,30.08,30.60
M&M,32.25,32.25
LIBERTSHOE,45.76,40.89
KAJARIACER,55.38,55.38
KABRAEXTRU,40.97,59.62
HEIDELBERG,39.38,39.38
MODTHREAD,53.56,53.56
MANGLMCEM,33.82,33.82
PRSMJOHNSN,193.62,
POLYPLEX,15.69,15.69
PIDILITIND,68.93,68.36
PCBL,35.66,35.62
3PLAND,37.65,37.65
OSWALAGRO,8.14,8.14
EIHAHOTELS,24.62,23.54
HONDAPOWER,37.45,37.45
JINDALSAW,9.08,9.08
SAIL,21.08,20.95
RUBYMILLS,16.30,16.30
STYRENIX,18.38,18.38
ABB,60.42,60.42
IDBI,12.46,12.46
GRAPHITE,32.49,32.49
CANFINHOME,11.99,11.99
BRITANNIA,63.66,63.66
BBL,26.56,26.56
ELECTCAST,10.08,10.08
DHAMPURSUG,17.81,17.81
DCMSHRIRAM,29.68,29.68
DABUR,48.55,48.55
COSMOFIRST,15.86,15.86
CIPLA,22.33,22.33
HEROMOTOCO,24.36,24.36
HDFCBANK,20.86,20.59
HARRMALAYA,14.08,14.08
GMBREW,13.43,13.43
GIPCL,13.97,13.97
ITC,24.81,24.81
INDIANHUME,3.50,22.49
HINDCOMPOS,19.74,14.47
IOC,14.92,17.04
OSWALGREEN,95.80,95.80
HUHTAMAKI,23.76,24.52
RICOAUTO,37.60,36.25
KAMATHOTEL,19.16,19.14
IFBAGRO,28.86,28.86
BANCOINDIA,27.03,27.03
MANINDS,17.26,17.26
APOLLOTYRE,37.19,39.37
SIYSIL,17.52,17.52
SHANTIGEAR,41.50,41.50
PRECWIRE,39.66,39.66
ONWARDTEC,21.99,21.99
NILKAMAL,24.46,24.46
NCC,15.43,15.43
ICIL,25.35,25.35
SEAMECLTD,19.39,19.41
ELGIEQUIP,43.43,43.43
AUROPHARMA,18.20,18.20
BBTC,6.19,6.26
EIHOTEL,38.11,33.07
LICHSGFIN,5.62,5.62
GICHSGFIN,7.23,6.76
BEPL,14.49,14.49
BANARBEADS,31.51,31.51
MOREPENLAB,28.26,28.26
WSTCSTPAPR,11.50,11.50
EASTSILK,6.55,6.55
VENKEYS,36.74,36.74
GHCL,9.65,9.65
S&SPOWER,2843.97,280.76
PRUDMOULI,14.04,14.04
PRAJIND,46.29,46.29
BPL,,6.28
TRANSWORLD,22.65,14.86
KEEPLEARN,79.32,79.32
PGHH,55.97,55.97
VESUVIUS,41.40,41.40
TFCILTD,31.91,31.91
BOMDYEING,7.27,208.49
NAVNETEDUL,16.49,18.36
