SYMBOL,SYMBOL P/E,ADJUSTED P/E
HUDCO,21.62,21.62
ENGINERSIN,32.19,32.19
JAICORPLTD,,118.31
GMDCLTD,15.55,15.55
ASAHIINDIA,48.14,48.14
J&KBANK,9.5,9.5
SOUTHBANK,7.14,7.14
ITDCEM,30.31,30.31
CYIENT,28.38,26.53
GOACARBON,10.05,10.05
SANGHVIMOV,32.53,32.53
NATIONALUM,21.89,21.89
ALEMBICLTD,31.19,26.02
BSOFT,28.47,28.47
ACCELYA,26.49,26.56
STAR,,40.21
ZYDUSLIFE,33.65,30.32
RAJESHEXPO,12.6,12.6
NRBBEARING,12.73,29.71
BLBLIMITED,14.71,16.45
BLUESTARCO,73.07,73.07
PNBGILTS,29.06,31.56
NLCINDIA,12.96,12.93
USHAMART,27.6,27.6
STLTECH,72.44,72.44
TRIDENT,47.98,48
BHARTIARTL,89.84,74.14
APTECHT,51.69,44.42
UNIONBANK,8.95,8.95
DIVISLAB,76.1,76.1
WELSPUNLIV,21.7,21.7
IGL,20.03,20.03
UNIENTER,28.02,28.02
PTC,11.99,11.99
MAHABANK,12.19,12.19
EXCELINDUS,103,103
NIITLTD,75.96,69.9
COFORGE,36.89,37.29
GUFICBIO,39.3,39.3
WELENT,11.9,13.54
JBMA,126.19,126.19
JINDALPHOT,100.6,100.6
GOKEX,46.55,46.55
SHOPERSTOP,105.59,97.42
SURYALAXMI,38.24,19.4
63MOONS,10.43,19.12
VHL,34.18,34.18
YESBANK,56.97,56.97
AURIONPRO,52.56,52.56
AIAENG,31.18,31.18
ORIENTCER,28.88,33.59
VIMTALABS,28.55,28.55
NITINSPIN,15.87,15.87
ENIL,47.56,49.78
GVKPIL,6.03,6.03
KEC,71.74,71.74
BLKASHYAP,,30.48
CENTURYPLY,40.44,40.44
VAKRANGEE,974.17,1266.73
RSYSTEMS,40.6,40.6
LOKESHMACH,68.76,68.76
KAMDHENU,33.37,33.37
PIONEEREMB,65.42,65.42
MUNJALAU,206.4,19.93
TECHM,51.8,51.87
GRINDWELL,60.29,60.25
ATLANTAA,.91,
ACE,63.91,63.91
ALICON,11.89,11.89
GESHIP,6.25,6.25
MANALIPETC,73.35,73.35
LTFOODS,14.41,14.41
SOBHA,192.77,192.77
PLASTIBLEN,22.28,22.28
HBLPOWER,64.59,63.75
SARLAPOLY,27.13,27.13
PITTIENG,37.42,37.42
IZMO,18.53,18.53
REDINGTON,13.74,13.74
PFC,8.21,8.21
RAJTV,359.29,359.29
ASTRAL,98.11,97.88
NCLIND,12.01,12.01
ICRA,35.34,35.34
AROGRANITE,39.34,39.34
SRHHYPOLTD,7.38,7.15
INSECTICID,26.29,26.29
HGS,60.05,60.05
DLF,172.67,172.67
ALPA,11.3,11.33
KPRMILL,36.81,36.81
CIEINDIA,23.15,23.15
CENTUM,88.15,88.15
MANGCHEFER,6.32,6.32
BAJAJELEC,68.69,68.69
RELIGARE,1.94,16.65
EDELWEISS,14.86,14.86
RGL,14.88,14.88
JYOTHYLAB,46.04,46.04
HITECHCORP,15.92,18.26
BRIGADE,94.19,95.59
MANAKSIA,7.47,6.82
DVL,28.17,28.17
KAVVERITEL,1.02,.99
BIRLAMONEY,14.53,14.53
CORDSCABLE,25.94,25.94
NAHARCAP,13.51,13.51
VGUARD,64.58,64.58
DPSCLTD,102.78,102.78
TITAGARH,68.68,68.68
BAJAJFINSV,16.54,16.54
DIGISPICE,99.28,30.18
RPGLIFE,28.46,28.46
RANEENGINE,39.36,34.3
ARCHIDPLY,29.56,29.56
VINYLINDIA,33.22,33.22
ZFCVINDIA,63.75,63.75
JOCIL,53.96,53.96
ALKALI,74.14,69.9
MAWANASUG,8.89,8.78
VINATIORGA,46.9,46.9
NHPC,23.74,23.74
EXPLEOSOL,19.94,19.94
DLINKINDIA,12.84,12.84
BEARDSELL,17.04,17.04
WHIRLPOOL,90.65,90.65
JUBLFOOD,124.9,124.9
DBREALTY,9.87,10.52
LGBBROSLTD,15.05,15.33
KSL,15.3,15.3
MANAPPURAM,8.33,8.33
