SYMBOL,SYMBOL P/E,ADJUSTED P/E
PENINLAND,59.32,58.19
THERMAX,65.19,65.19
WHEELS,17.21,17.21
RIIL,140.67,140.67
PREMIERPOL,22.91,22.91
RAYMOND,14.89,14.89
SHREDIGCEM,47.00,47.00
SESHAPAPER,17.01,17.01
SMLISUZU,20.09,20.09
SUNDRMFAST,37.93,37.93
FACT,,674.36
EXIDEIND,40.78,40.78
ELECON,37.48,37.48
CRISIL,53.79,53.79
LMW,181.67,181.67
PEL,69.56,
NELCO,218.01,218.01
MASTEK,19.18,19.43
MAHSCOOTER,65.74,87.98
LUMAXIND,44.73,44.73
TRENT,136.94,136.94
KECL,67.89,288.64
CUMMINSIND,46.81,46.81
KCP,10.66,9.66
JAYBARMARU,31.79,31.79
JBCHEPHARM,38.70,38.70
INFY,25.05,25.05
INDIAGLYCO,32.18,32.18
IONEXCHANG,37.65,37.65
IFBIND,42.52,42.52
IGPL,13.66,13.66
HIMATSEIDE,23.32,23.32
GNFC,14.79,14.79
BPCL,11.45,11.19
BHARATFORG,64.95,59.08
BASF,40.72,42.15
FORCEMOT,18.07,26.56
ATUL,41.23,41.23
ARVIND,27.03,27.03
ACC,14.73,15.26
TATAMOTORS,11.66,11.42
SCI,8.63,8.63
MRPL,847.96,847.96
LINDEINDIA,140.50,140.50
HINDPETRO,12.50,12.50
ESCORTS,33.81,33.77
RELINFRA,42.59,
BAJAJHLDNG,92.85,92.85
ASHOKLEY,23.09,23.41
ZUARIIND,,604.13
VOLTAS,43.50,43.50
TITAN,96.77,96.77
TATASTEEL,65.85,56.63
SUNDARMFIN,34.25,32.95
SPIC,14.64,14.64
VEDL,8.45,9.32
SBIN,9.12,9.12
RELIANCE,24.36,24.36
PFIZER,33.14,33.14
NOCIL,26.52,26.52
BOSCHLTD,46.24,46.27
DRREDDY,18.09,18.09
BATAINDIA,45.60,63.38
DEEPAKFERT,19.16,19.16
CHAMBLFERT,16.79,16.79
CARBORUNIV,73.91,95.03
MAHSEAMLES,12.03,12.03
HINDOILEXP,15.15,18.66
DICIND,30.72,31.66
COROMANDEL,34.52,39.77
BALMLAWRIE,19.91,19.91
VINDHYATEL,17.90,17.90
MOTOGENFIN,49.65,49.65
ASIANPAINT,62.62,58.49
RAMCOCEM,63.46,131.09
PGHL,36.80,35.46
ABREL,,798.14
BEML,53.98,53.98
ADOR,30.36,27.01
CENTENKA,14.15,14.15
TATACHEM,108.58,64.99
TORNTPHARM,59.35,59.35
VTL,16.61,16.61
SUNDROP,528.49,473.02
FEDERALBNK,11.63,11.63
EPL,20.43,20.24
VLSFINANCE,5.34,5.34
SUPREMEIND,55.03,55.03
SRF,68.17,68.17
BIRLACABLE,95.37,95.37
BALRAMCHIN,28.17,28.17
AEGISLOG,41.11,41.11
WEIZMANIND,22.78,22.78
UNICHEMLAB,,42.62
BBOX,39.61,30.60
HONAUT,64.00,64.00
JTEKTINDIA,41.60,41.87
SAURASHCEM,201.34,201.34
RANEHOLDIN,9.67,91.23
PRECOT,15.64,19.44
TATAELXSI,49.04,49.04
SUNPHARMA,36.35,35.24
SHREYANIND,5.42,5.42
SANDESH,6.45,6.47
HCC,18.79,
ASHIMASYN,6.63,6.63
APOLLOHOSP,77.16,77.16
ARE&M,18.41,19.91
ADANIENT,59.63,68.53
IVP,17.27,17.27
BALKRISIND,29.42,29.42
INDBANK,17.74,17.74
GINNIFILA,78.72,78.72
EICHERMOT,37.14,37.14
RAJSREESUG,13.54,13.54
GVT&D,96.62,96.62
NEULANDLAB,58.51,76.31
ONGC,7.71,7.46
ZENSARTECH,28.22,28.22
TIL,10.30,216.28
TAINWALCHM,48.89,48.89
BERGEPAINT,58.13,58.13
BANARISUG,58.94,58.94
JINDALPOLY,11.01,18.65
KPIL,34.98,34.98
JYOTISTRUC,63.45,63.45
IGARASHI,59.47,59.47
BSL,15.36,15.36
BLUEDART,59.52,59.52
NKIND,915.58,915.58
JAYNECOIND,37.42,37.42
MUNJALSHOW,17.56,17.56
APCOTEXIND,32.87,32.87
SOTL,23.66,23.66
HSCL,40.24,40.24
RCF,30.80,32.75
RANASUG,9.72,9.72
KARURVYSYA,9.42,9.42
DECCANCE,427.66,74.98
ARENTERP,20.13,20.13
WSI,855.89,186.25
UFLEX,,9.02
TATAPOWER,31.93,30.86
ADVANIHOTR,21.82,21.82
THOMASCOOK,26.96,26.35
SUNFLAG,28.99,28.99
SUBROS,31.46,31.46
SPMLINFRA,41.24,43.37
SIMPLEXINF,14.21,14.21
SIEMENS,41.47,41.47
BHARATRAS,25.98,25.98
