SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,60.32,60.32
WHEELS,14.90,14.90
RIIL,117.60,117.60
PREMIERPOL,23.93,23.93
RAYMOND,21.92,21.51
SHREDIGCEM,27.19,27.19
SESHAPAPER,12.75,12.75
SMLISUZU,19.94,19.94
SUNDRMFAST,33.78,33.78
FACT,,483.60
EXIDEIND,39.33,39.33
ELECON,26.87,26.87
CRISIL,45.07,45.07
LMW,135.20,135.20
PEL,45.03,
NELCO,102.18,102.18
MASTEK,17.46,17.96
MAHSCOOTER,73.34,76.42
LUMAXIND,41.49,41.49
TRENT,94.13,132.16
KECL,65.40,278.05
CUMMINSIND,44.68,44.68
KCP,9.81,8.90
JAYBARMARU,28.23,28.23
JBCHEPHARM,38.23,38.23
INFY,21.14,21.14
INDIAGLYCO,23.24,23.24
IONEXCHANG,32.72,32.72
IFBIND,40.24,40.24
IGPL,12.98,12.98
HIMATSEIDE,20.27,20.27
GNFC,14.07,14.07
BPCL,9.81,9.61
BHARATFORG,55.80,50.33
BASF,31.65,32.18
FORCEMOT,22.36,22.36
ATUL,40.69,40.69
ARVIND,27.49,27.49
ACC,14.52,15.98
TATAMOTORS,6.88,6.87
SCI,8.58,8.58
MRPL,28.59,28.35
LINDEINDIA,115.78,115.78
HINDPETRO,12.81,12.81
ESCORTS,31.25,31.25
RELINFRA,39.17,
BAJAJHLDNG,82.94,82.94
ASHOKLEY,20.11,20.39
ZUARIIND,,503.86
VOLTAS,50.52,50.52
TITAN,88.74,88.74
TATASTEEL,70.09,58.09
SUNDARMFIN,31.32,30.13
SPIC,20.28,13.69
VEDL,8.33,9.26
SBIN,8.33,8.33
RELIANCE,20.75,20.75
PFIZER,30.33,30.33
NOCIL,24.37,24.37
BOSCHLTD,38.41,38.43
DRREDDY,17.05,17.05
BATAINDIA,45.81,63.68
DEEPAKFERT,17.18,17.18
CHAMBLFERT,17.18,17.18
CARBORUNIV,49.83,58.93
MAHSEAMLES,11.61,11.61
HINDOILEXP,13.07,16.10
DICIND,29.49,30.38
COROMANDEL,35.98,35.98
BALMLAWRIE,16.23,16.23
VINDHYATEL,13.92,13.92
MOTOGENFIN,43.18,43.18
ASIANPAINT,55.44,53.76
RAMCOCEM,59.29,122.48
PGHL,36.26,34.95
ABREL,112.85,112.85
BEML,48.28,48.28
ADOR,27.21,24.63
CENTENKA,13.57,13.57
TATACHEM,,40.57
TORNTPHARM,56.87,56.87
VTL,16.63,16.63
SUNDROP,506.33,453.19
FEDERALBNK,11.51,11.51
EPL,22.32,21.36
VLSFINANCE,4.52,4.52
SUPREMEIND,45.03,45.03
SRF,76.17,76.17
BIRLACABLE,88.78,88.78
BALRAMCHIN,28.23,28.23
AEGISLOG,37.53,37.53
WEIZMANIND,21.24,21.24
UNICHEMLAB,,41.34
BBOX,31.13,24.05
HONAUT,56.55,56.55
JTEKTINDIA,39.84,40.10
SAURASHCEM,175.02,175.02
RANEHOLDIN,8.69,81.98
PRECOT,10.92,13.57
TATAELXSI,36.57,36.57
SUNPHARMA,35.25,34.18
SHREYANIND,5.35,5.35
SANDESH,5.88,5.90
HCC,17.05,
ASHIMASYN,4.26,4.26
APOLLOHOSP,73.98,73.98
ARE&M,17.63,19.06
ADANIENT,68.94,65.54
IVP,13.33,13.33
BALKRISIND,25.48,25.48
INDBANK,14.61,14.61
GINNIFILA,,135.81
EICHERMOT,38.01,38.01
RAJSREESUG,11.26,11.26
GVT&D,69.95,69.95
NEULANDLAB,50.29,63.04
ONGC,7.17,6.94
ZENSARTECH,22.25,22.25
TIL,9.67,203.12
TAINWALCHM,51.68,51.68
BERGEPAINT,57.02,57.02
BANARISUG,50.93,50.93
JINDALPOLY,10.60,17.95
KPIL,29.54,29.54
JYOTISTRUC,50.83,50.83
IGARASHI,53.67,53.67
BSL,16.49,16.49
BLUEDART,54.45,54.45
NKIND,1077.04,1077.04
JAYNECOIND,226.07,94.34
MUNJALSHOW,16.05,16.05
APCOTEXIND,32.67,32.67
SOTL,22.05,22.05
HSCL,41.89,41.89
RCF,25.84,27.48
RANASUG,8.57,8.57
KARURVYSYA,8.95,8.95
DECCANCE,404.67,70.95
ARENTERP,19.90,19.90
WSI,808.58,175.95
UFLEX,,7.75
TATAPOWER,33.39,32.20
ADVANIHOTR,21.56,21.56
THOMASCOOK,24.93,24.61
SUNFLAG,25.98,25.98
SUBROS,27.60,27.60
SPMLINFRA,47.66,50.12
SIMPLEXINF,13.48,13.48
SIEMENS,37.59,37.59
BHARATRAS,26.10,26.10
WIPRO,20.07,20.07
VSTIND,14.28,19.12
JUBLPHARMA,23.58,19.29
UNIVCABLES,31.40,31.40
TATACOMM,40.04,41.77
TOKYOPLAST,146.21,146.21
SOMANYCERA,23.62,24.05
MURUDCERA,25.60,25.60
IFCI,44.50,44.96
HLVLTD,32.08,35.24
SANOFI,37.74,35.37
M&M,26.38,26.38
LIBERTSHOE,41.81,30.80
KAJARIACER,34.67,34.67
KABRAEXTRU,23.42,23.42
HEIDELBERG,42.28,42.28
MODTHREAD,24.35,24.35
MANGLMCEM,48.67,48.67
POLYPLEX,9.27,9.27
PIDILITIND,75.95,74.07
PCBL,35.13,35.10
3PLAND,35.36,35.36
OSWALAGRO,24.58,24.57
EIHAHOTELS,27.21,26.15
HONDAPOWER,33.26,35.51
JINDALSAW,8.63,8.63
SAIL,26.20,16.89
RUBYMILLS,14.26,14.26
STYRENIX,20.40,20.40
ABB,58.14,58.14
IDBI,11.92,11.92
GRAPHITE,20.72,20.72
CANFINHOME,10.43,10.43
BRITANNIA,59.52,59.02
BBL,24.70,24.70
ELECTCAST,7.63,7.63
DHAMPURSUG,14.05,14.05
DCMSHRIRAM,29.77,29.77
DABUR,46.22,46.22
COSMOFIRST,12.04,12.04
CIPLA,23.63,23.63
HEROMOTOCO,16.45,16.45
HDFCBANK,19.48,19.21
HARRMALAYA,2491.48,46.20
GMBREW,9.45,9.45
GIPCL,12.85,12.85
ITC,26.10,26.10
INDIANHUME,20.00,20.00
HINDCOMPOS,17.09,17.09
IOC,20.25,25.21
OSWALGREEN,70.55,70.55
HUHTAMAKI,16.69,24.85
RICOAUTO,26.89,26.42
KAMATHOTEL,19.98,21.17
IFBAGRO,24.09,24.09
BANCOINDIA,15.68,15.68
MANINDS,16.02,16.02
APOLLOTYRE,21.05,19.92
SIYSIL,16.22,16.22
SHANTIGEAR,36.14,36.14
PRECWIRE,28.34,28.34
ONWARDTEC,22.39,22.39
NILKAMAL,23.90,23.90
NCC,15.87,15.49
ICIL,16.98,16.98
SEAMECLTD,26.12,28.47
ELGIEQUIP,41.79,41.79
AUROPHARMA,17.96,17.63
BBTC,6.42,6.25
EIHOTEL,31.77,32.07
LICHSGFIN,5.98,5.98
GICHSGFIN,5.10,5.10
BEPL,14.75,14.75
BANARBEADS,25.29,25.29
MOREPENLAB,21.75,21.75
WSTCSTPAPR,6.85,6.85
21STCENMGM,1.89,1.89
VENKEYS,17.13,17.13
GHCL,9.48,9.48
PRAJIND,33.98,37.00
BIRLANU,,61.02
BPL,19.07,19.07
TRANSWORLD,14.37,14.37
KEEPLEARN,113.62,113.62
PGHH,62.06,62.06
VESUVIUS,33.82,33.82
TFCILTD,17.31,17.31
BOMDYEING,4.81,35.77
GTL,1.19,18.78
NAVNETEDUL,3.94,14.74
AGI,17.12,17.12
GLAXO,54.24,54.57
