SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,67.20,67.20
WHEELS,17.19,17.19
RIIL,142.58,142.58
PREMIERPOL,20.30,20.30
RAYMOND,15.08,15.08
SHREDIGCEM,44.73,44.73
SESHAPAPER,17.47,17.47
SMLISUZU,21.61,21.61
SUNDRMFAST,37.68,37.68
FACT,1558.12,3865.30
EXIDEIND,39.82,39.82
ELECON,34.84,34.84
CRISIL,60.42,60.42
LMW,166.70,166.70
PEL,71.49,
NELCO,259.66,259.66
MASTEK,19.67,19.93
MAHSCOOTER,73.58,98.47
LUMAXIND,45.51,45.51
TRENT,140.52,140.52
KECL,236.05,
CUMMINSIND,51.78,51.78
KCP,10.03,9.10
JAYBARMARU,25.99,25.99
JBCHEPHARM,39.55,39.55
INFY,25.13,25.13
INDIAGLYCO,30.45,30.45
IONEXCHANG,36.19,36.19
IFBIND,46.14,46.14
IGPL,12.93,12.93
HIMATSEIDE,22.60,9.25
GNFC,13.05,13.05
BPCL,11.32,11.07
BHARATFORG,66.58,60.57
BASF,44.37,45.93
FORCEMOT,22.32,32.82
ATUL,42.32,42.32
ARVIND,24.17,24.17
ACC,14.28,14.79
TATAMOTORS,10.77,10.55
SCI,12.33,12.33
MRPL,828.68,828.68
LINDEINDIA,128.22,128.22
HINDPETRO,12.11,12.11
ESCORTS,31.03,30.99
RELINFRA,1.79,2.07
BAJAJHLDNG,303.25,303.25
ASHOKLEY,20.40,20.51
VOLTAS,43.45,43.45
TITAN,93.28,93.28
TATASTEEL,63.19,54.35
SUNDARMFIN,29.06,29.06
SPIC,13.48,13.48
VEDL,8.37,9.23
SBIN,8.87,8.87
RELIANCE,24.01,24.01
PFIZER,33.76,40.81
NOCIL,29.72,29.72
BOSCHLTD,47.43,47.46
DRREDDY,19.40,19.40
BATAINDIA,46.78,66.41
DEEPAKFERT,20.42,20.42
CHAMBLFERT,14.35,14.35
CARBORUNIV,69.79,89.73
MAHSEAMLES,11.31,11.31
HINDOILEXP,15.06,15.06
DICIND,30.56,31.49
COROMANDEL,32.22,37.13
BALMLAWRIE,17.86,17.86
VINDHYATEL,23.64,23.64
MOTOGENFIN,122.23,122.23
ASIANPAINT,60.95,56.93
RAMCOCEM,89.63,371.53
PGHL,38.82,37.50
ABREL,,955.09
BEML,61.04,61.04
ADOR,30.83,27.43
CENTENKA,16.17,16.17
TATACHEM,115.79,69.30
TORNTPHARM,56.04,55.53
VTL,15.69,15.69
SUNDROP,,85.56
FEDERALBNK,11.93,11.93
EPL,20.42,20.24
VLSFINANCE,17.57,17.57
SUPREMEIND,67.10,67.10
SRF,71.41,71.41
BIRLACABLE,113.80,113.80
BALRAMCHIN,29.59,29.59
AEGISLOG,35.70,35.70
WEIZMANIND,22.50,22.50
UNICHEMLAB,26.66,26.66
BBOX,39.63,30.44
HONAUT,63.41,63.41
JTEKTINDIA,46.46,46.80
SAURASHCEM,134.33,
RANEHOLDIN,11.60,109.82
PRECOT,14.27,14.27
TATAELXSI,49.36,49.36
SUNPHARMA,36.00,34.42
KOHINOOR,0.35,
SHREYANIND,5.96,5.96
SANDESH,11.23,11.30
HCC,19.91,
APOLLOHOSP,68.46,68.46
ARE&M,19.11,20.79
ADANIENT,57.28,65.82
IVP,15.83,15.83
BALKRISIND,28.08,28.08
INDBANK,17.76,17.76
GINNIFILA,101.40,101.40
EICHERMOT,37.34,37.34
RAJSREESUG,19.29,19.29
GVT&D,99.11,99.11
NEULANDLAB,60.23,78.55
ONGC,8.27,8.25
ZENSARTECH,29.56,29.56
TIL,829.38,829.38
TAINWALCHM,41.01,41.01
BERGEPAINT,55.31,55.31
BANARISUG,46.76,46.76
JINDALPOLY,9.83,16.65
ANIKINDS,97.54,97.54
KPIL,35.89,35.89
JYOTISTRUC,60.95,60.95
IGARASHI,60.49,60.49
BLUEDART,57.92,57.92
JAYNECOIND,33.56,33.56
MUNJALSHOW,18.21,18.21
APCOTEXIND,36.79,36.79
SOTL,24.63,24.63
HSCL,38.95,38.95
RCF,34.64,35.04
RANASUG,5.79,5.79
KARURVYSYA,10.09,10.09
DECCANCE,137.95,137.95
ARENTERP,59.09,59.09
UFLEX,29.71,9.15
TATAPOWER,30.86,29.82
ADVANIHOTR,21.02,21.02
THOMASCOOK,30.09,29.40
SUNFLAG,30.51,30.51
SUBROS,39.63,39.63
SPMLINFRA,35.98,35.98
