SYMBOL,SYMBOL P/E,ADJUSTED P/E
WHEELS,29.84,29.84
RIIL,188.71,188.71
SHREDIGCEM,17.31,17.31
SMLISUZU,22.3,22.3
FACT,2479.98,302.1
LAXMIMACH,60.43,60.43
PEL,,139.28
MAHSCOOTER,68.39,70.63
TRENT,174.86,263.07
KCP,11.83,11.74
JBCHEPHARM,51.43,51.43
IONEXCHANG,47.47,47.47
IFBIND,67.43,67.43
HIMATSEIDE,14.96,14.96
GFLLIMITED,194.06,194.06
BHARATFORG,84.41,76.1
ATUL,68.89,68.89
TATAMOTORS,10.71,10.64
MRPL,12.06,12.03
ESCORTS,46.99,46.99
BAJAJHLDNG,84.49,84.49
ZUARIIND,1.57,
VOLTAS,107.25,107.25
TATASTEEL,,55.53
VEDL,19.73,22.16
RELIANCE,25.87,25.87
BATAINDIA,55.73,73.7
CARBORUNIV,67.12,67.12
VINDHYATEL,29.31,29.31
ASIANPAINT,61.94,61.94
BEML,55.62,55.62
TORNTPHARM,67.71,70.69
VLSFINANCE,4.18,4.18
SRF,58.69,58.69
AEGISLOG,38.04,38.04
WEIZMANIND,24.81,24.81
BBOX,60.81,47.44
JTEKTINDIA,43.67,43.67
ADANIENT,81.76,77.36
INDBANK,22.95,22.95
RAJSREESUG,22.07,22.07
TAINWALCHM,40.16,40.16
BSL,20.72,20.72
APCOTEXIND,39.61,39.61
RCF,60.54,66.74
DECCANCE,32.99,22.49
ADVANIHOTR,29.57,29.57
SUBROS,42.97,42.97
SIEMENS,102.79,102.79
TOKYOPLAST,89.54,89.54
SANOFI,33.24,31.24
HEIDELBERG,32.45,32.45
MODTHREAD,10.93,10.93
MANGLMCEM,40.49,40.49
PIDILITIND,89.82,87.45
HONDAPOWER,42.37,44.19
RUBYMILLS,21.07,21.07
STYRENIX,21.89,21.89
GRAPHITE,10.9,41.1
ELECTCAST,14.99,14.99
DABUR,62.85,62.85
COSMOFIRST,24.52,24.52
HEROMOTOCO,29.49,29.49
GMBREW,13.84,13.84
ITC,31.11,31.1
HINDCOMPOS,25.16,25.16
OSWALGREEN,761.06,761.06
HUHTAMAKI,7.13,30.97
RICOAUTO,40.5,39.45
MANINDS,20.88,20.88
SIYSIL,11.77,11.77
PRECWIRE,45.17,45.17
NCC,25.18,24.53
SEAMECLTD,24.91,26.41
BBTC,9.37,9.03
GICHSGFIN,8.23,8.23
BANARBEADS,23.79,23.79
WSTCSTPAPR,6.47,6.47
S&SPOWER,180.6,180.6
PRAJIND,45.12,48.6
TFCILTD,17.49,17.49
GTL,.93,4.48
AGI,23.61,23.61
TATACONSUM,95.4,81.42
