SYMBOL,SYMBOL P/E,ADJUSTED P/E
PENINLAND,57.92,56.82
THERMAX,71.08,71.08
WHEELS,16.25,16.25
RIIL,135.12,135.12
PREMIERPOL,24.11,24.11
RAYMOND,22.57,22.15
SHREDIGCEM,30.50,30.50
SESHAPAPER,13.29,13.29
SMLISUZU,21.29,21.29
SUNDRMFAST,35.75,35.75
FACT,,589.55
EXIDEIND,40.73,40.73
ELECON,33.29,33.29
CRISIL,51.32,51.32
LMW,143.09,143.09
PEL,47.54,
NELCO,214.80,214.80
MASTEK,18.08,18.31
MAHSCOOTER,62.17,83.20
LUMAXIND,43.92,43.92
TRENT,104.82,147.17
KECL,69.73,296.45
CUMMINSIND,46.60,46.60
KCP,10.69,9.69
JAYBARMARU,31.15,31.15
JBCHEPHARM,39.14,39.14
INFY,22.85,22.85
INDIAGLYCO,25.86,25.86
IONEXCHANG,35.84,35.84
IFBIND,41.71,41.71
IGPL,14.06,14.06
HIMATSEIDE,22.11,22.11
GNFC,14.93,14.93
BPCL,10.10,9.90
BHARATFORG,61.61,55.57
BASF,32.56,33.11
FORCEMOT,23.81,23.81
ATUL,44.28,44.28
ARVIND,32.28,32.28
ACC,16.25,16.84
TATAMOTORS,7.73,7.72
SCI,9.04,9.04
MRPL,30.86,30.60
LINDEINDIA,127.79,127.79
HINDPETRO,13.08,13.08
ESCORTS,33.31,33.31
RELINFRA,42.13,
BAJAJHLDNG,91.01,91.01
ASHOKLEY,22.24,22.55
ZUARIIND,,625.01
VOLTAS,50.17,50.17
TITAN,92.79,92.79
TATASTEEL,74.34,61.61
SUNDARMFIN,35.58,34.23
SPIC,20.61,13.91
VEDL,9.21,10.24
SBIN,8.98,8.98
RELIANCE,22.16,22.16
PFIZER,31.78,31.78
NOCIL,25.71,25.71
BOSCHLTD,41.43,41.45
DRREDDY,18.45,18.45
BATAINDIA,45.19,62.81
DEEPAKFERT,18.77,18.77
CHAMBLFERT,18.33,18.33
CARBORUNIV,54.76,64.76
MAHSEAMLES,12.15,12.15
HINDOILEXP,15.33,18.88
DICIND,32.69,33.69
COROMANDEL,38.99,38.99
BALMLAWRIE,17.17,17.17
VINDHYATEL,16.70,16.70
MOTOGENFIN,48.87,48.87
ASIANPAINT,57.08,55.35
RAMCOCEM,62.50,129.11
PGHL,36.64,35.31
ABREL,125.12,125.12
BEML,50.37,50.37
ADOR,28.13,25.46
CENTENKA,14.65,14.65
TATACHEM,,42.12
TORNTPHARM,60.44,60.44
VTL,17.58,17.58
SUNDROP,540.02,483.34
FEDERALBNK,12.20,12.20
EPL,24.07,23.03
VLSFINANCE,5.80,5.80
SUPREMEIND,53.05,53.05
SRF,78.53,78.53
BIRLACABLE,95.86,95.86
BALRAMCHIN,32.00,32.00
AEGISLOG,38.47,38.47
WEIZMANIND,22.42,22.42
UNICHEMLAB,,46.38
BBOX,38.67,29.88
HONAUT,57.72,57.72
JTEKTINDIA,41.46,41.73
SAURASHCEM,211.48,211.48
RANEHOLDIN,9.09,85.80
PRECOT,12.54,15.59
TATAELXSI,46.96,46.96
SUNPHARMA,37.68,36.53
SHREYANIND,5.56,5.56
SANDESH,6.30,6.32
HCC,18.45,
ASHIMASYN,6.14,6.14
APOLLOHOSP,78.11,78.11
ARE&M,18.07,19.54
ADANIENT,72.54,68.96
IVP,14.23,14.23
BALKRISIND,28.11,28.11
INDBANK,19.77,19.77
GINNIFILA,,163.24
EICHERMOT,40.14,40.14
RAJSREESUG,13.55,13.55
GVT&D,79.19,79.19
NEULANDLAB,55.96,70.15
ONGC,7.76,7.51
ZENSARTECH,24.70,24.70
TIL,9.61,201.82
TAINWALCHM,52.76,52.76
BERGEPAINT,62.87,62.87
BANARISUG,56.78,56.78
JINDALPOLY,10.91,18.47
KPIL,32.60,32.60
JYOTISTRUC,68.27,68.27
IGARASHI,59.68,59.68
BSL,16.04,16.04
BLUEDART,56.37,56.37
NKIND,1036.35,1036.35
JAYNECOIND,268.94,112.23
MUNJALSHOW,17.11,17.11
APCOTEXIND,31.96,31.96
SOTL,23.51,23.51
HSCL,41.45,41.45
RCF,29.41,31.27
RANASUG,9.68,9.68
KARURVYSYA,9.50,9.50
DECCANCE,428.29,75.09
ARENTERP,19.79,19.79
WSI,813.85,177.10
UFLEX,,8.73
TATAPOWER,36.27,34.98
ADVANIHOTR,22.46,22.46
THOMASCOOK,27.74,27.38
SUNFLAG,28.31,28.31
SUBROS,28.89,28.89
SPMLINFRA,47.60,50.06
SIMPLEXINF,13.30,13.30
SIEMENS,40.01,40.01
BHARATRAS,26.72,26.73
WIPRO,19.27,19.27
VSTIND,17.24,23.08
JUBLPHARMA,24.47,20.01
UNIVCABLES,36.37,36.37
TATACOMM,29.85,47.76
TOKYOPLAST,151.58,151.58
SOMANYCERA,24.87,25.32
MURUDCERA,28.59,28.59
IFCI,50.23,50.75
HLVLTD,33.74,37.07
SANOFI,40.00,37.48
M&M,29.66,29.66
LIBERTSHOE,56.06,41.30
KAJARIACER,35.37,35.37
KABRAEXTRU,26.92,26.92
HEIDELBERG,43.20,43.20
MODTHREAD,28.42,28.42
MANGLMCEM,50.05,50.05
POLYPLEX,10.07,10.07
PIDILITIND,79.13,77.18
PCBL,34.09,34.05
3PLAND,38.54,38.54
OSWALAGRO,28.49,28.48
EIHAHOTELS,28.38,27.27
HONDAPOWER,37.21,39.73
JINDALSAW,9.36,9.36
SAIL,28.55,18.40
RUBYMILLS,16.30,16.30
STYRENIX,22.07,22.07
ABB,64.30,64.30
IDBI,12.55,12.55
GRAPHITE,21.85,21.85
CANFINHOME,11.01,11.01
BRITANNIA,60.76,60.25
BBL,26.43,26.43
ELECTCAST,8.89,8.89
DHAMPURSUG,15.91,15.91
DCMSHRIRAM,30.63,30.63
DABUR,49.27,49.27
COSMOFIRST,13.50,13.50
