SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,53.60,57.06
WHEELS,16.56,16.56
RIIL,103.32,103.32
PREMIERPOL,21.30,21.30
RAYMOND,32.59,9.23
RSWM,36.97,26.28
SHREDIGCEM,27.37,27.37
SESHAPAPER,22.32,22.32
SMLMAH,40.33,40.33
SUNDRMFAST,32.24,31.68
FACT,1569.20,3782.30
EXIDEIND,32.74,32.48
EUROTEXIND,6.08,6.08
ELECON,18.75,21.85
CRISIL,41.34,41.34
LMW,137.01,129.23
NELCO,,286.18
MASTEK,13.36,13.15
MAHSCOOTER,42.23,48.71
LUMAXIND,52.54,47.56
TRENT,84.18,83.17
KECL,50.34,29.23
CUMMINSIND,67.38,64.61
KCP,8.95,8.66
JAYBARMARU,13.48,12.72
JBCHEPHARM,44.10,44.10
INFY,18.91,18.33
INDIAGLYCO,25.31,25.23
IONEXCHANG,28.51,26.71
IFBIND,33.78,31.39
HIMATSEIDE,16.10,6.40
GNFC,10.35,10.35
GFLLIMITED,269.62,269.62
BPCL,7.01,6.90
BHARATFORG,78.96,76.31
BASF,39.60,40.27
FORCEMOT,20.73,29.53
ATUL,32.06,32.06
ARVIND,21.63,20.83
ACC,10.82,11.40
TMPV,58.00,17.41
SCI,10.40,10.40
MRPL,15.92,15.92
LINDEINDIA,107.96,107.96
HINDPETRO,6.00,6.00
ESCORTS,28.30,28.73
RELINFRA,0.32,0.40
BAJAJHLDNG,59.01,184.98
ASHOKLEY,33.53,30.80
VOLTAS,79.42,76.98
TITAN,79.65,77.79
TATASTEEL,28.42,26.55
SUNDARMFIN,31.35,30.56
SPIC,8.07,8.07
VEDL,16.79,15.35
SBIN,12.71,13.06
RELIANCE,19.30,19.30
PFIZER,25.76,28.87
NOCIL,38.05,35.96
BOSCHLTD,35.57,42.45
DRREDDY,19.90,19.90
BATAINDIA,53.69,49.75
DEEPAKFERT,13.68,13.68
CHAMBLFERT,9.76,9.76
CARBORUNIV,75.98,75.98
MAHSEAMLES,8.73,8.70
HINDOILEXP,19.01,27.31
DICIND,27.54,24.73
COROMANDEL,25.59,28.98
BALMLAWRIE,15.14,15.14
WILLAMAGOR,1.71,1.71
VINDHYATEL,65.84,65.84
MOTOGENFIN,61.07,61.07
ASIANPAINT,58.57,55.11
RAMCOCEM,45.74,231.63
INDIACEM,,63.17
PGHL,27.57,27.57
BEML,54.49,54.49
ADOR,27.27,25.23
CENTENKA,13.32,12.78
TATACHEM,103.10,56.01
TORNTPHARM,64.85,63.91
VTL,21.09,21.09
SUNDROP,,61.39
FEDERALBNK,17.01,17.01
EPL,15.77,15.28
VLSFINANCE,13.32,13.32
SUPREMEIND,68.54,68.54
SRF,42.70,41.44
BIRLACABLE,56.42,56.42
BALRAMCHIN,24.14,24.14
AEGISLOG,24.02,24.02
WEIZMANIND,15.03,15.03
UNICHEMLAB,7.76,28.02
BBOX,40.99,31.87
HONAUT,52.41,51.63
JTEKTINDIA,49.44,47.72
SAURASHCEM,25.11,28.09
RANEHOLDIN,19.84,16.34
PRECOT,12.82,12.82
TATAELXSI,47.22,43.45
SUNPHARMA,38.92,35.01
KOHINOOR,0.25,
SHREYANIND,5.84,5.84
SANDESH,6.75,6.65
HCC,12.61,13.50
APOLLOHOSP,61.41,60.91
ARE&M,19.83,21.50
ADANIENT,21.61,71.70
IVP,9.57,9.35
BALKRISIND,34.01,34.01
INDBANK,21.08,21.08
GINNIFILA,7.78,7.00
EICHERMOT,45.90,45.48
GVT&D,91.69,87.63
NEULANDLAB,92.58,92.58
ONGC,7.88,7.86
ZENSARTECH,16.85,16.41
TAINWALCHM,17.91,17.91
BERGEPAINT,50.38,47.29
BANARISUG,31.90,31.90
ANIKINDS,73.53,73.53
KPIL,23.61,22.98
JYOTISTRUC,27.15,27.15
IGARASHI,76.10,76.10
BSL,34.38,34.38
BLUEDART,51.00,44.51
JAYNECOIND,19.17,18.67
MUNJALSHOW,16.57,15.73
APCOTEXIND,22.53,22.65
SOTL,15.13,15.13
HSCL,32.83,32.83
RCF,20.08,20.25
RANASUG,5.08,5.66
KARURVYSYA,13.32,13.32
DECCANCE,30.66,30.66
UFLEX,10.98,13.07
TATAPOWER,26.95,27.04
ADVANIHOTR,21.04,20.56
THOMASCOOK,17.59,17.18
SUNFLAG,20.56,19.91
SUBROS,29.54,28.56
SPMLINFRA,23.49,23.49
SIMPLEXINF,24.30,31.59
SIEMENS,67.81,67.81
BHARATRAS,17.60,16.41
WIPRO,15.45,15.45
VSTIND,16.67,16.67
JUBLPHARMA,30.99,28.56
UNIVCABLES,25.23,25.23
TATACOMM,27.89,39.67
TOKYOPLAST,70.44,70.44
SOMANYCERA,27.78,27.78
MURUDCERA,14.38,14.38
IFCI,22.22,21.82
HLVLTD,122.17,58.92
SANOFI,26.86,25.39
M&M,27.66,27.27
LIBERTSHOE,33.23,32.66
KAJARIACER,37.45,35.09
HEIDELBERG,25.55,25.04
MODTHREAD,13.07,13.07
MANGLMCEM,29.02,28.72
PRSMJOHNSN,41.84,
PIDILITIND,63.56,62.94
PCBL,43.30,46.41
3PLAND,26.59,26.59
OSWALAGRO,7.75,7.75
EIHAHOTELS,20.79,20.19
HONDAPOWER,28.30,25.31
JINDALSAW,12.56,12.56
SAIL,26.33,24.21
RUBYMILLS,15.85,15.85
STYRENIX,19.44,19.27
ABB,75.26,75.26
IDBI,12.75,12.75
GRAPHITE,41.16,38.64
CANFINHOME,11.30,11.30
BRITANNIA,59.06,59.06
BBL,19.84,19.84
ELECTCAST,12.65,11.65
DHAMPURSUG,11.99,11.99
DCMSHRIRAM,23.25,21.78
DABUR,47.54,47.24
COSMOFIRST,12.24,12.24
CIPLA,23.58,22.46
HEROMOTOCO,22.53,22.12
HDFCBANK,17.72,17.51
HARRMALAYA,13.39,13.39
GMBREW,13.50,13.50
GIPCL,14.66,14.66
ITC,19.16,18.95
INDIANHUME,2.70,15.90
HINDCOMPOS,23.89,15.50
IOC,7.07,7.07
OSWALGREEN,31.90,31.90
HUHTAMAKI,10.89,10.97
RICOAUTO,29.90,26.34
KAMATHOTEL,16.85,24.04
IFBAGRO,15.70,15.70
BANCOINDIA,17.10,17.46
MANINDS,15.99,15.99
APOLLOTYRE,30.49,27.19
SIYSIL,11.53,11.53
SHANTIGEAR,41.06,40.50
PRECWIRE,47.07,47.07
ONWARDTEC,12.73,12.12
NILKAMAL,19.95,18.24
NCC,11.70,11.31
ICIL,45.84,45.84
SEAMECLTD,17.61,17.62
ELGIEQUIP,41.60,40.51
AUROPHARMA,20.26,19.99
BBTC,4.91,5.02
EIHOTEL,33.67,28.43
LICHSGFIN,5.23,5.23
GICHSGFIN,5.95,5.58
BEPL,11.62,11.62
RAIN,33.68,33.68
BANARBEADS,40.62,40.62
MOREPENLAB,22.32,29.03
WSTCSTPAPR,17.59,17.59
VENKEYS,36.28,36.28
GHCL,8.50,8.50
S&SPOWER,48.40,48.06
PRUDMOULI,7.32,7.32
PRAJIND,108.15,46.77
BPL,,4.77
PGHH,41.99,41.99
VESUVIUS,38.37,38.37
TFCILTD,26.07,26.07
BOMDYEING,130.32,124.51
NAVNETEDUL,8.25,23.76
GUJALKALI,98.66,98.66
AGI,9.92,9.81
GLAXO,41.14,41.76
TATACONSUM,71.29,72.34
ZEEL,14.05,13.88
CHOLAFIN,29.35,29.35
INDHOTEL,42.48,47.10
FMGOETZE,11.40,10.85
KOTAKBANK,21.68,21.68
ORIENTHOT,27.30,27.00
JAYSREETEA,5.33,190.39
GILLETTE,42.98,42.98
GOLDENTOBC,7.39,8.38
KANSAINER,27.51,26.04
FOSECOIND,52.98,44.95
ESABINDIA,38.92,42.18
3MINDIA,102.81,118.73
ANDHRAPAP,69.62,69.62
GABRIEL,54.00,51.90
SCHAEFFLER,58.28,58.28
AARTIIND,40.53,41.31
RALLIS,29.96,
AMJLAND,7.91,7.91
PRAKASH,6.83,6.83
MFSL,339.27,339.27
KSB,51.08,48.04
KOPRAN,36.24,36.24
HEG,34.50,34.50
GREAVESCOT,100.56,107.80
GODFRYPHLP,30.26,30.26
VARDMNPOLY,48.34,48.34
SURYAROSNI,14.61,14.61
TATAINVEST,115.32,115.32
GLFL,361.93,361.93
TIMKEN,57.97,57.97
SHREECEM,50.62,50.62
SAKHTISUG,12.67,12.67
IPCALAB,40.18,36.65
INGERRAND,46.42,43.38
AKZOINDIA,6.60,36.86
HINDALCO,13.35,12.39
HINDZINC,21.33,21.36
HINDUNILVR,52.63,50.25
GSFC,9.20,9.20
GRASIM,20.09,19.60
AMBUJACEM,24.20,21.99
FINPIPE,25.32,25.32
FINCABLES,22.57,25.43
EIDPARRY,6.67,7.62
DCW,31.41,31.41
CGPOWER,99.52,97.36
SUDARCOLOR,18.44,10.33
CESC,13.41,13.41
BIRLACORPN,13.06,11.83
