SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,66.10,66.10
WHEELS,17.33,17.33
RIIL,144.94,144.94
PREMIERPOL,20.55,20.55
RAYMOND,15.46,15.46
SHREDIGCEM,45.35,45.35
SESHAPAPER,18.95,18.95
SMLISUZU,21.43,21.43
SUNDRMFAST,37.28,37.28
FACT,1613.36,4002.35
EXIDEIND,40.19,40.19
ELECON,35.06,35.06
CRISIL,61.95,61.95
LMW,167.72,167.72
PEL,72.86,
NELCO,258.91,258.91
MASTEK,20.12,20.38
MAHSCOOTER,72.72,97.33
LUMAXIND,46.20,46.20
TRENT,150.26,150.26
KECL,244.26,
CUMMINSIND,52.15,52.15
KCP,10.01,9.09
JAYBARMARU,26.21,26.21
JBCHEPHARM,42.49,42.49
INFY,24.60,24.60
INDIAGLYCO,31.04,31.04
IONEXCHANG,37.12,37.12
IFBIND,45.72,45.72
IGPL,12.91,12.91
HIMATSEIDE,24.09,9.86
GNFC,13.28,13.28
BPCL,11.32,11.07
BHARATFORG,67.56,61.46
BASF,44.50,46.06
FORCEMOT,23.34,34.32
ATUL,41.82,41.82
ARVIND,25.20,25.20
ACC,14.21,14.72
TATAMOTORS,10.75,10.53
SCI,13.05,13.05
MRPL,909.63,909.63
LINDEINDIA,130.78,130.78
HINDPETRO,12.21,12.21
ESCORTS,31.71,31.67
RELINFRA,1.76,2.04
BAJAJHLDNG,303.11,303.11
ASHOKLEY,20.74,20.85
VOLTAS,44.59,44.59
TITAN,93.28,93.28
TATASTEEL,63.79,54.86
SUNDARMFIN,30.00,30.00
SPIC,13.91,13.91
VEDL,8.57,9.45
SBIN,8.92,8.92
RELIANCE,24.40,24.40
PFIZER,33.61,40.63
NOCIL,29.52,29.52
BOSCHLTD,46.26,46.29
DRREDDY,19.28,19.28
BATAINDIA,46.53,66.06
DEEPAKFERT,20.68,20.68
CHAMBLFERT,14.87,14.87
CARBORUNIV,69.90,89.87
MAHSEAMLES,11.49,11.49
HINDOILEXP,15.40,15.40
DICIND,30.55,31.47
COROMANDEL,32.45,37.39
BALMLAWRIE,18.04,18.04
VINDHYATEL,23.65,23.65
MOTOGENFIN,122.18,122.18
ASIANPAINT,60.85,56.83
RAMCOCEM,89.52,371.06
PGHL,39.13,37.80
ABREL,,932.99
BEML,68.17,68.17
ADOR,31.53,28.05
CENTENKA,16.27,16.27
TATACHEM,115.34,69.03
TORNTPHARM,56.06,55.56
VTL,16.13,16.13
SUNDROP,,86.16
FEDERALBNK,12.11,12.11
EPL,20.68,20.49
VLSFINANCE,17.74,17.74
SUPREMEIND,67.71,67.71
SRF,71.87,71.87
BIRLACABLE,109.90,109.90
BALRAMCHIN,29.66,29.66
AEGISLOG,35.02,35.02
WEIZMANIND,22.13,22.13
UNICHEMLAB,27.55,27.55
BBOX,40.57,31.17
HONAUT,63.81,63.81
JTEKTINDIA,46.87,47.21
SAURASHCEM,138.61,
RANEHOLDIN,11.69,110.65
PRECOT,14.27,14.27
TATAELXSI,50.09,50.09
SUNPHARMA,36.33,34.73
KOHINOOR,0.35,
SHREYANIND,6.05,6.05
SANDESH,11.25,11.33
HCC,20.05,
APOLLOHOSP,68.44,68.44
ARE&M,18.88,20.54
ADANIENT,58.50,67.22
IVP,16.16,16.16
BALKRISIND,28.01,28.01
INDBANK,17.63,17.63
EICHERMOT,37.74,37.74
RAJSREESUG,19.07,19.07
GVT&D,97.80,97.80
NEULANDLAB,60.71,79.17
ONGC,8.26,8.24
ZENSARTECH,29.25,29.25
TIL,847.78,847.78
TAINWALCHM,41.45,41.45
BERGEPAINT,56.21,56.21
BANARISUG,46.77,46.77
JINDALPOLY,9.89,16.75
ANIKINDS,99.20,99.20
KPIL,35.79,35.79
JYOTISTRUC,60.98,60.98
IGARASHI,60.36,60.36
BLUEDART,58.23,58.23
JAYNECOIND,33.12,33.12
MUNJALSHOW,17.11,17.11
APCOTEXIND,37.00,37.00
SOTL,24.98,24.98
HSCL,39.21,39.21
RCF,35.07,35.48
RANASUG,5.78,5.78
KARURVYSYA,10.19,10.19
DECCANCE,148.74,148.74
ARENTERP,60.75,60.75
UFLEX,29.90,9.20
TATAPOWER,31.54,30.48
ADVANIHOTR,20.89,20.89
THOMASCOOK,28.75,28.09
SUNFLAG,31.57,31.57
SUBROS,39.60,39.60
SPMLINFRA,38.03,38.03
SIMPLEXINF,196.64,
SIEMENS,42.60,42.60
BHARATRAS,33.49,33.49
WIPRO,20.91,20.91
VSTIND,16.54,23.09
JUBLPHARMA,21.35,36.64
UNIVCABLES,51.53,51.53
TATACOMM,30.51,48.82
TOKYOPLAST,93.76,93.76
SOMANYCERA,38.56,37.76
MURUDCERA,25.05,25.05
IFCI,47.65,47.30
HLVLTD,33.44,34.51
SANOFI,36.69,34.38
M&M,31.10,31.10
LIBERTSHOE,49.97,45.11
KAJARIACER,50.87,50.87
KABRAEXTRU,29.94,38.18
HEIDELBERG,41.43,41.43
MODTHREAD,47.97,47.97
MANGLMCEM,44.09,44.09
PRSMJOHNSN,281.38,
POLYPLEX,10.71,10.71
PIDILITIND,71.51,70.88
PCBL,33.74,33.71
3PLAND,43.82,43.82
OSWALAGRO,10.56,10.56
EIHAHOTELS,24.26,23.41
HONDAPOWER,34.42,34.42
JINDALSAW,10.50,10.50
SAIL,27.74,21.85
RUBYMILLS,18.60,18.60
STYRENIX,24.55,24.55
ABB,66.96,66.96
IDBI,12.90,12.90
GRAPHITE,23.91,23.91
CANFINHOME,11.86,11.86
BRITANNIA,61.30,60.79
BBL,23.58,23.58
ELECTCAST,10.88,10.88
DHAMPURSUG,18.32,18.32
DCMSHRIRAM,30.60,30.60
DABUR,47.66,47.66
COSMOFIRST,24.92,24.92
CIPLA,22.88,22.88
HEROMOTOCO,18.75,18.75
