SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,56.81,56.81
WHEELS,18.94,18.94
RIIL,135.20,135.20
PREMIERPOL,18.40,18.40
RAYMOND,18.55,18.55
SHREDIGCEM,48.38,48.38
SESHAPAPER,20.15,20.15
SMLISUZU,32.97,32.97
SUNDRMFAST,39.40,39.40
FACT,618.83,748.83
EXIDEIND,39.64,39.64
ELECON,25.67,29.61
CRISIL,46.32,46.32
LMW,153.76,152.79
NELCO,321.18,321.18
MASTEK,17.20,17.41
MAHSCOOTER,79.57,99.11
LUMAXIND,68.59,68.59
TRENT,112.05,112.05
KECL,344.28,
CUMMINSIND,58.09,58.39
KCP,8.74,8.07
JAYBARMARU,22.84,22.84
JBCHEPHARM,38.13,38.13
INFY,22.01,22.01
INDIAGLYCO,30.25,30.25
IONEXCHANG,28.58,28.58
IFBIND,56.20,56.20
IGPL,21.64,21.64
HIMATSEIDE,22.54,8.48
GNFC,13.47,13.47
BPCL,9.73,9.59
BHARATFORG,56.62,56.44
BASF,51.25,52.07
FORCEMOT,25.29,35.91
ATUL,35.46,35.46
ARVIND,20.74,20.74
ACC,14.38,14.89
TATAMOTORS,12.38,12.07
SCI,12.25,12.25
LINDEINDIA,120.31,120.31
HINDPETRO,8.77,8.77
ESCORTS,31.84,33.46
RELINFRA,1.15,1.33
BAJAJHLDNG,64.80,199.18
ASHOKLEY,23.77,23.87
VOLTAS,59.04,59.04
TITAN,82.59,82.59
TATASTEEL,52.94,49.20
SUNDARMFIN,26.90,26.90
SPIC,15.18,15.18
VEDL,9.26,10.24
SBIN,9.89,9.89
RELIANCE,19.62,19.62
PFIZER,29.55,35.34
NOCIL,32.38,32.38
BOSCHLTD,42.79,51.43
DRREDDY,18.19,18.19
BATAINDIA,74.64,71.06
DEEPAKFERT,20.07,20.07
CHAMBLFERT,12.87,12.87
CARBORUNIV,88.08,121.98
MAHSEAMLES,9.09,9.06
HINDOILEXP,15.31,19.54
DICIND,30.73,31.76
COROMANDEL,29.70,33.83
BALMLAWRIE,17.80,17.80
WILLAMAGOR,1.43,1.43
VINDHYATEL,21.99,21.99
MOTOGENFIN,134.60,134.60
ASIANPAINT,64.62,60.28
RAMCOCEM,73.59,204.50
INDIACEM,,517.57
PGHL,34.63,34.63
BEML,61.17,61.17
ADOR,49.15,41.34
CENTENKA,18.18,18.18
TATACHEM,66.79,48.40
TORNTPHARM,59.42,58.91
VTL,14.61,14.61
SUNDROP,,74.56
FEDERALBNK,11.52,11.52
EPL,17.54,17.39
VLSFINANCE,31.10,31.10
SUPREMEIND,68.37,68.37
SRF,60.48,60.48
BIRLACABLE,79.50,79.50
BALRAMCHIN,24.68,24.68
AEGISLOG,38.43,38.43
WEIZMANIND,19.89,19.89
UNICHEMLAB,26.49,26.49
BBOX,44.23,34.64
HONAUT,61.71,61.71
JTEKTINDIA,64.17,64.67
SAURASHCEM,88.47,227.51
RANEHOLDIN,11.26,69.11
PRECOT,9.88,9.88
TATAELXSI,44.77,44.77
SUNPHARMA,37.59,34.00
KOHINOOR,0.33,
SHREYANIND,5.86,5.86
SANDESH,10.37,10.46
HCC,15.34,
APOLLOHOSP,67.13,67.13
ARE&M,21.25,23.32
ADANIENT,72.54,85.72
IVP,17.64,17.64
BALKRISIND,30.63,30.63
INDBANK,18.89,18.89
GINNIFILA,20.37,16.59
EICHERMOT,45.81,45.81
GVT&D,106.11,106.11
NEULANDLAB,110.79,148.68
ONGC,7.66,7.63
ZENSARTECH,25.64,25.64
TAINWALCHM,28.64,28.64
BERGEPAINT,57.14,55.74
BANARISUG,39.10,39.10
JINDALPOLY,,44.96
ANIKINDS,81.44,81.44
KPIL,30.60,30.60
JYOTISTRUC,43.85,43.85
IGARASHI,88.73,88.73
BSL,26.54,26.54
BLUEDART,54.43,54.43
JAYNECOIND,29.49,29.49
MUNJALSHOW,22.40,22.40
APCOTEXIND,33.63,33.63
SOTL,21.44,21.44
HSCL,36.45,36.45
RCF,28.86,29.14
RANASUG,6.05,6.05
KARURVYSYA,10.08,10.08
DECCANCE,75.52,75.52
ARENTERP,168.86,168.86
