SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,51.49,51.49
WHEELS,18.17,18.17
RIIL,129.51,129.51
PREMIERPOL,18.21,18.21
RAYMOND,14.76,14.76
SHREDIGCEM,48.11,48.11
SESHAPAPER,18.37,18.37
SMLMAH,35.94,35.94
SUNDRMFAST,35.90,35.90
FACT,579.81,701.61
EXIDEIND,37.11,37.11
ELECON,21.18,24.42
CRISIL,44.75,44.75
LMW,156.05,155.06
NELCO,296.82,296.82
MASTEK,16.99,17.19
MAHSCOOTER,68.39,85.18
LUMAXIND,73.63,73.63
TRENT,97.45,97.45
KECL,313.69,
CUMMINSIND,66.68,67.02
KCP,8.04,7.42
JAYBARMARU,19.22,19.22
JBCHEPHARM,40.32,40.32
INFY,24.03,24.03
INDIAGLYCO,35.44,35.44
IONEXCHANG,23.77,23.77
IFBIND,53.17,53.17
IGPL,19.90,19.90
HIMATSEIDE,22.53,8.48
GNFC,13.51,13.51
BPCL,10.21,10.06
BHARATFORG,65.28,65.07
BASF,44.64,45.35
FORCEMOT,26.46,37.57
ATUL,33.38,33.38
ARVIND,23.64,23.64
ACC,14.31,14.82
TMPV,6.17,6.01
SCI,12.24,12.24
LINDEINDIA,111.52,111.52
HINDPETRO,8.85,8.85
ESCORTS,33.90,35.63
RELINFRA,0.74,0.85
BAJAJHLDNG,61.52,189.12
ASHOKLEY,27.67,27.79
VOLTAS,57.98,57.98
TITAN,91.31,91.31
TATASTEEL,51.02,47.41
SUNDARMFIN,28.59,28.59
SPIC,13.12,13.12
VEDL,10.47,11.59
SBIN,10.84,10.84
RELIANCE,22.15,22.15
PFIZER,28.13,33.65
NOCIL,29.87,29.87
BOSCHLTD,40.52,48.70
DRREDDY,18.67,18.67
BATAINDIA,60.23,57.34
DEEPAKFERT,16.72,16.72
CHAMBLFERT,10.76,10.76
CARBORUNIV,84.16,116.56
MAHSEAMLES,8.46,8.44
HINDOILEXP,13.63,17.39
DICIND,28.82,29.79
COROMANDEL,29.92,34.07
BALMLAWRIE,15.37,15.37
WILLAMAGOR,1.25,1.25
VINDHYATEL,23.20,23.20
MOTOGENFIN,129.35,129.35
ASIANPAINT,80.95,75.51
RAMCOCEM,76.39,212.30
INDIACEM,,502.78
PGHL,32.21,32.21
BEML,49.44,49.44
ADOR,51.28,43.13
CENTENKA,16.87,16.87
TATACHEM,56.52,40.95
TORNTPHARM,62.90,62.36
VTL,15.43,15.43
SUNDROP,,67.49
FEDERALBNK,15.47,15.47
EPL,16.30,16.16
VLSFINANCE,44.64,44.64
SUPREMEIND,53.56,53.56
SRF,58.63,58.63
BIRLACABLE,70.37,70.37
BALRAMCHIN,23.58,23.58
AEGISLOG,33.56,33.56
WEIZMANIND,19.46,19.46
UNICHEMLAB,24.27,24.27
BBOX,41.95,32.86
HONAUT,60.46,60.46
JTEKTINDIA,57.30,57.74
SAURASHCEM,69.08,177.64
RANEHOLDIN,9.43,57.90
PRECOT,10.48,10.48
TATAELXSI,43.25,43.25
SUNPHARMA,41.64,37.66
KOHINOOR,0.28,
SHREYANIND,4.62,4.62
SANDESH,9.89,9.98
HCC,14.17,
APOLLOHOSP,64.74,64.74
ARE&M,20.12,22.07
ADANIENT,68.70,81.17
IVP,18.24,18.24
BALKRISIND,32.04,32.04
INDBANK,20.60,20.60
GINNIFILA,17.19,14.00
EICHERMOT,46.74,46.74
GVT&D,97.07,97.07
NEULANDLAB,123.64,165.92
ONGC,7.54,7.52
ZENSARTECH,24.91,24.91
TAINWALCHM,24.45,24.45
BERGEPAINT,58.79,57.36
BANARISUG,39.78,39.78
JINDALPOLY,,40.75
ANIKINDS,68.73,68.73
KPIL,29.06,29.06
JYOTISTRUC,32.01,32.01
IGARASHI,74.24,74.24
BSL,27.29,27.29
BLUEDART,53.90,53.90
JAYNECOIND,28.63,28.63
MUNJALSHOW,19.83,19.83
APCOTEXIND,34.76,34.76
SOTL,19.60,19.60
HSCL,36.34,36.34
RCF,26.29,26.55
RANASUG,5.56,5.56
KARURVYSYA,12.02,12.02
DECCANCE,51.39,51.39
ARENTERP,220.72,220.72
UFLEX,11.39,8.84
TATAPOWER,29.08,28.16
ADVANIHOTR,21.14,21.14
THOMASCOOK,26.47,25.86
SUNFLAG,22.97,22.97
SUBROS,36.66,36.66
SPMLINFRA,29.16,29.16
SIMPLEXINF,88.67,205.74
SIEMENS,58.28,58.28
BHARATRAS,30.48,28.34
WIPRO,19.80,19.80
VSTIND,14.79,20.57
JUBLPHARMA,37.61,35.59
UNIVCABLES,52.21,52.21
TATACOMM,37.13,57.31
TOKYOPLAST,111.16,111.16
SOMANYCERA,32.42,31.69
MURUDCERA,21.93,21.93
IFCI,27.15,26.93
HLVLTD,28.34,29.47
SANOFI,27.95,28.44
M&M,34.35,34.35
LIBERTSHOE,40.54,36.23
KAJARIACER,49.04,49.04
KABRAEXTRU,38.02,55.33
HEIDELBERG,35.40,35.40
MODTHREAD,48.20,48.20
MANGLMCEM,35.52,35.52
PRSMJOHNSN,172.35,
POLYPLEX,12.92,12.92
PIDILITIND,68.24,67.66
PCBL,30.71,30.68
3PLAND,33.90,33.90
OSWALAGRO,6.63,6.63
EIHAHOTELS,23.07,22.06
HONDAPOWER,33.38,33.38
JINDALSAW,7.40,7.40
SAIL,21.11,20.98
RUBYMILLS,15.86,15.86
STYRENIX,16.09,16.09
ABB,60.17,60.17
IDBI,13.34,13.34
GRAPHITE,30.01,30.01
CANFINHOME,13.45,13.45
BRITANNIA,63.54,63.53
BBL,23.78,23.78
ELECTCAST,7.89,7.89
DHAMPURSUG,15.21,15.21
DCMSHRIRAM,30.83,30.83
DABUR,51.17,51.17
COSMOFIRST,13.17,13.17
CIPLA,22.53,22.53
HEROMOTOCO,27.45,27.45
HDFCBANK,21.35,21.07
HARRMALAYA,11.80,11.80
GMBREW,17.78,17.78
GIPCL,12.24,12.24
ITC,24.86,24.86
INDIANHUME,3.93,25.24
HINDCOMPOS,18.58,13.62
IOC,15.94,18.21
OSWALGREEN,84.23,84.23
HUHTAMAKI,21.90,22.60
RICOAUTO,50.55,48.74
KAMATHOTEL,14.24,14.22
IFBAGRO,37.95,37.95
BANCOINDIA,22.13,22.13
MANINDS,20.90,20.90
APOLLOTYRE,40.88,43.28
SIYSIL,16.51,16.51
SHANTIGEAR,37.23,37.23
PRECWIRE,46.03,46.03
ONWARDTEC,19.83,19.83
NILKAMAL,21.71,21.71
NCC,12.64,12.64
ICIL,29.84,29.84
SEAMECLTD,22.08,22.11
ELGIEQUIP,45.27,45.27
AUROPHARMA,20.54,20.54
BBTC,6.31,6.38
EIHOTEL,36.54,31.71
LICHSGFIN,5.50,5.50
GICHSGFIN,6.93,6.48
BEPL,13.21,13.21
BANARBEADS,27.35,27.35
MOREPENLAB,25.09,25.09
WSTCSTPAPR,10.02,10.02
EASTSILK,10.24,10.24
VENKEYS,33.28,33.28
