SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,67.12,67.12
WHEELS,17.27,17.27
RIIL,149.43,149.43
PREMIERPOL,21.38,21.38
RAYMOND,15.89,15.89
SHREDIGCEM,45.79,45.79
SESHAPAPER,17.62,17.62
SMLISUZU,22.67,22.67
SUNDRMFAST,38.93,38.93
FACT,1593.51,3953.10
EXIDEIND,41.56,41.56
ELECON,38.18,38.18
CRISIL,56.43,56.43
LMW,171.76,171.76
PEL,73.05,
NELCO,219.22,219.22
MASTEK,19.31,19.55
MAHSCOOTER,72.20,96.63
LUMAXIND,43.33,43.33
TRENT,139.28,139.28
KECL,218.21,
CUMMINSIND,53.57,53.57
KCP,10.46,9.49
JAYBARMARU,27.13,27.13
JBCHEPHARM,40.16,40.16
INFY,24.14,24.14
INDIAGLYCO,31.53,31.53
IONEXCHANG,38.44,38.44
IFBIND,46.31,46.31
IGPL,13.71,13.71
HIMATSEIDE,24.89,10.19
GNFC,13.72,13.72
BPCL,11.19,10.94
BHARATFORG,66.19,60.22
BASF,46.22,47.85
FORCEMOT,20.77,30.54
ATUL,43.85,43.85
ARVIND,24.88,24.88
ACC,14.74,15.27
TATAMOTORS,11.37,11.14
SCI,12.24,12.24
MRPL,882.17,882.17
LINDEINDIA,142.87,142.87
HINDPETRO,12.45,12.45
ESCORTS,31.61,31.58
RELINFRA,1.73,2.01
BAJAJHLDNG,303.63,303.63
ASHOKLEY,20.50,20.61
VOLTAS,42.99,42.99
TITAN,93.24,93.24
TATASTEEL,66.11,56.86
SUNDARMFIN,30.65,30.65
SPIC,14.28,14.28
VEDL,8.36,9.22
SBIN,9.10,9.10
RELIANCE,24.16,24.16
PFIZER,34.55,41.76
NOCIL,31.71,31.71
BOSCHLTD,46.09,46.11
DRREDDY,18.88,18.88
BATAINDIA,47.04,66.78
DEEPAKFERT,20.57,20.57
CHAMBLFERT,14.59,14.59
CARBORUNIV,71.73,92.23
MAHSEAMLES,11.37,11.37
HINDOILEXP,15.37,15.37
DICIND,30.23,31.14
COROMANDEL,32.39,37.32
BALMLAWRIE,18.79,18.79
VINDHYATEL,23.36,23.36
MOTOGENFIN,123.95,123.95
ASIANPAINT,60.30,56.32
RAMCOCEM,88.59,367.20
PGHL,39.15,37.73
ABREL,,840.51
BEML,63.14,63.14
ADOR,31.06,27.64
CENTENKA,15.35,15.35
TATACHEM,118.51,70.93
TORNTPHARM,55.64,55.14
VTL,16.82,16.82
SUNDROP,,92.16
FEDERALBNK,12.11,12.11
EPL,21.26,21.06
VLSFINANCE,17.93,17.93
SUPREMEIND,65.76,65.76
SRF,73.63,73.63
BIRLACABLE,111.28,111.28
BALRAMCHIN,30.36,30.36
AEGISLOG,40.02,40.02
WEIZMANIND,22.94,22.94
UNICHEMLAB,27.87,27.87
BBOX,46.51,35.73
