SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,71.02,75.61
WHEELS,19.81,19.81
RIIL,115.95,115.95
PREMIERPOL,19.82,19.82
RAYMOND,37.04,10.49
RSWM,39.93,28.38
SHREDIGCEM,30.93,30.93
SESHAPAPER,22.42,22.42
SMLMAH,35.48,35.48
SUNDRMFAST,31.14,30.60
FACT,2132.72,5140.60
EXIDEIND,35.57,35.28
EUROTEXIND,7.26,7.26
ELECON,33.79,40.37
CRISIL,37.93,37.93
LMW,134.79,127.13
NELCO,513.19,158.73
MASTEK,13.40,12.88
MAHSCOOTER,46.42,46.42
LUMAXIND,47.92,43.38
TRENT,88.00,87.01
KECL,77.10,44.76
CUMMINSIND,72.80,69.80
KCP,10.09,9.76
JAYBARMARU,13.19,12.44
JBCHEPHARM,42.85,42.85
INFY,17.07,16.57
INDIAGLYCO,28.93,28.84
IONEXCHANG,32.87,30.79
IFBIND,37.47,34.82
HIMATSEIDE,15.59,6.20
GNFC,11.52,11.52
GFLLIMITED,292.15,292.15
BPCL,6.03,5.93
BHARATFORG,77.95,75.33
BASF,42.85,43.57
FORCEMOT,19.77,28.16
ATUL,32.88,32.88
ARVIND,24.32,23.42
ACC,10.11,10.65
TMPV,57.48,17.25
SCI,12.57,12.57
MRPL,15.17,15.17
LINDEINDIA,115.39,115.39
HINDPETRO,5.40,5.40
ESCORTS,28.09,28.52
BAJAJHLDNG,57.42,180.01
ASHOKLEY,28.18,25.88
VOLTAS,77.30,74.91
TITAN,83.03,81.09
TATASTEEL,29.88,27.92
SUNDARMFIN,27.32,26.63
SPIC,8.91,8.91
VEDL,17.36,15.88
SBIN,11.89,12.22
RELIANCE,18.66,18.66
PFIZER,25.64,28.73
NOCIL,51.33,48.51
BOSCHLTD,40.02,47.75
DRREDDY,20.17,20.17
BATAINDIA,54.55,50.55
DEEPAKFERT,18.04,18.04
CHAMBLFERT,10.07,10.07
CARBORUNIV,88.64,88.64
MAHSEAMLES,10.33,10.30
HINDOILEXP,19.27,27.69
DICIND,28.49,25.58
COROMANDEL,25.30,28.65
BALMLAWRIE,15.67,15.67
WILLAMAGOR,1.81,1.81
VINDHYATEL,84.46,84.46
MOTOGENFIN,74.89,74.89
ASIANPAINT,64.55,60.73
RAMCOCEM,39.72,201.18
INDIACEM,,68.08
PGHL,29.44,29.44
BEML,61.23,61.23
ADOR,27.07,25.05
CENTENKA,13.79,13.24
TATACHEM,102.44,55.65
TORNTPHARM,61.78,60.88
VTL,21.98,21.98
SUNDROP,,62.96
FEDERALBNK,17.35,17.35
EPL,17.76,17.21
VLSFINANCE,13.38,13.38
SUPREMEIND,63.80,63.80
SRF,42.36,41.11
BIRLACABLE,64.33,64.33
BALRAMCHIN,26.59,26.59
AEGISLOG,25.51,25.51
WEIZMANIND,14.78,14.78
UNICHEMLAB,9.20,33.23
BBOX,45.39,35.29
HONAUT,57.14,56.30
JTEKTINDIA,48.85,47.16
SAURASHCEM,24.28,27.16
RANEHOLDIN,17.94,14.78
PRECOT,16.57,16.57
TATAELXSI,41.97,38.86
SUNPHARMA,36.64,32.96
KOHINOOR,0.25,
SHREYANIND,6.71,6.71
SANDESH,6.96,6.85
HCC,15.98,17.10
APOLLOHOSP,61.46,60.95
ARE&M,22.50,24.39
ADANIENT,26.62,88.35
IVP,11.07,10.82
BALKRISIND,33.37,33.37
INDBANK,21.69,21.69
GINNIFILA,9.74,8.76
EICHERMOT,41.98,41.59
GVT&D,107.80,103.02
NEULANDLAB,107.27,107.27
ONGC,8.16,8.15
ZENSARTECH,17.40,16.94
TAINWALCHM,17.60,17.60
BERGEPAINT,54.31,50.97
BANARISUG,32.63,32.63
ANIKINDS,69.80,69.80
KPIL,26.38,25.68
JYOTISTRUC,30.76,30.76
IGARASHI,84.46,84.46
BSL,35.98,35.98
BLUEDART,50.05,43.67
JAYNECOIND,25.25,24.59
MUNJALSHOW,16.90,16.05
APCOTEXIND,24.85,24.99
SOTL,15.38,15.38
HSCL,35.83,35.83
RCF,22.93,23.13
RANASUG,5.94,6.62
KARURVYSYA,12.49,12.49
DECCANCE,28.43,28.43
UFLEX,9.60,11.43
TATAPOWER,30.77,30.88
ADVANIHOTR,21.33,20.84
THOMASCOOK,18.61,18.17
SUNFLAG,25.07,24.28
SUBROS,31.14,30.11
SPMLINFRA,28.96,28.96
SIMPLEXINF,28.83,37.47
SIEMENS,81.49,81.49
BHARATRAS,18.11,16.89
WIPRO,16.06,16.06
VSTIND,15.30,15.30
JUBLPHARMA,35.03,32.27
UNIVCABLES,30.29,30.29
TATACOMM,44.77,42.30
TOKYOPLAST,87.02,87.02
SOMANYCERA,34.07,34.07
MURUDCERA,15.27,15.27
IFCI,24.89,24.44
HLVLTD,136.69,65.93
SANOFI,24.29,22.95
M&M,25.18,24.82
LIBERTSHOE,39.31,38.64
KAJARIACER,47.47,44.48
HEIDELBERG,25.75,25.23
MODTHREAD,14.13,14.13
MANGLMCEM,31.48,31.16
PRSMJOHNSN,43.80,
PIDILITIND,61.64,61.03
PCBL,44.33,47.51
3PLAND,30.10,30.10
OSWALAGRO,8.59,8.59
EIHAHOTELS,20.60,20.01
HONDAPOWER,31.40,28.09
JINDALSAW,18.26,18.26
SAIL,29.75,27.35
RUBYMILLS,16.03,16.03
STYRENIX,24.02,23.80
ABB,96.16,96.16
IDBI,8.53,8.53
GRAPHITE,44.27,41.56
CANFINHOME,12.30,12.30
BRITANNIA,56.17,56.17
BBL,25.78,25.78
ELECTCAST,15.56,14.33
DHAMPURSUG,14.09,14.09
