SYMBOL,SYMBOL P/E,ADJUSTED P/E
PENINLAND,52.55,51.56
THERMAX,67.42,67.42
WHEELS,16.49,16.49
RIIL,134.57,134.57
PREMIERPOL,24.59,24.59
RAYMOND,23.15,22.72
SHREDIGCEM,29.91,29.91
SESHAPAPER,13.41,13.41
SMLISUZU,21.29,21.29
SUNDRMFAST,34.87,34.87
FACT,,589.98
EXIDEIND,40.57,40.57
ELECON,31.57,31.57
CRISIL,50.62,50.62
LMW,142.98,142.98
PEL,47.95,
NELCO,108.23,108.23
MASTEK,18.49,18.73
MAHSCOOTER,80.26,83.64
LUMAXIND,44.80,44.80
TRENT,104.81,147.16
KECL,70.21,298.49
CUMMINSIND,45.98,45.98
KCP,10.45,9.47
JAYBARMARU,30.85,30.85
JBCHEPHARM,40.28,40.28
INFY,22.09,22.09
INDIAGLYCO,26.24,26.24
IONEXCHANG,36.00,36.00
IFBIND,43.23,43.23
IGPL,14.31,14.31
HIMATSEIDE,21.91,21.91
GNFC,15.05,15.05
BPCL,10.24,10.03
BHARATFORG,61.45,55.42
BASF,32.87,33.42
FORCEMOT,23.39,23.39
ATUL,42.85,42.85
ARVIND,32.19,32.19
ACC,15.06,16.57
TATAMOTORS,7.30,7.28
SCI,8.82,8.82
MRPL,31.27,31.01
LINDEINDIA,127.95,127.95
HINDPETRO,13.35,13.35
ESCORTS,33.01,33.01
RELINFRA,41.73,
BAJAJHLDNG,90.60,90.60
ASHOKLEY,21.48,21.77
ZUARIIND,,616.20
VOLTAS,52.87,52.87
TITAN,91.55,91.55
TATASTEEL,72.58,60.15
SUNDARMFIN,36.01,34.64
SPIC,20.36,13.74
VEDL,9.05,10.06
SBIN,9.08,9.08
RELIANCE,21.98,21.98
PFIZER,31.62,31.62
NOCIL,25.81,25.81
BOSCHLTD,40.83,40.86
DRREDDY,18.06,18.06
BATAINDIA,45.27,62.92
DEEPAKFERT,18.17,18.17
CHAMBLFERT,18.23,18.23
CARBORUNIV,55.19,65.26
MAHSEAMLES,12.25,12.25
HINDOILEXP,15.57,19.19
DICIND,33.25,34.26
COROMANDEL,37.94,37.94
BALMLAWRIE,16.76,16.76
VINDHYATEL,16.19,16.19
MOTOGENFIN,48.46,48.46
ASIANPAINT,56.33,54.63
RAMCOCEM,61.93,127.93
PGHL,36.27,34.95
ABREL,121.61,121.61
BEML,50.46,50.46
ADOR,28.67,25.94
CENTENKA,14.76,14.76
TATACHEM,,41.52
TORNTPHARM,59.01,59.01
VTL,17.63,17.63
SUNDROP,540.92,484.14
FEDERALBNK,12.19,12.19
EPL,24.02,22.98
VLSFINANCE,5.64,5.64
SUPREMEIND,50.06,50.06
SRF,77.92,77.92
BIRLACABLE,94.22,94.22
BALRAMCHIN,31.52,31.52
AEGISLOG,39.44,39.44
WEIZMANIND,22.82,22.82
UNICHEMLAB,,46.00
BBOX,34.69,26.80
HONAUT,57.05,57.05
JTEKTINDIA,42.83,43.11
SAURASHCEM,187.04,187.04
RANEHOLDIN,9.34,88.13
PRECOT,13.12,16.31
TATAELXSI,43.48,43.48
SUNPHARMA,36.50,35.39
SHREYANIND,5.66,5.66
SANDESH,6.43,6.45
HCC,19.04,
ASHIMASYN,5.83,5.83
APOLLOHOSP,77.34,77.34
ARE&M,18.36,19.85
ADANIENT,72.63,69.04
IVP,14.29,14.29
BALKRISIND,27.64,27.64
INDBANK,16.52,16.52
GINNIFILA,,155.86
EICHERMOT,41.09,41.09
RAJSREESUG,13.96,13.96
GVT&D,78.80,78.80
NEULANDLAB,55.93,70.11
ONGC,7.71,7.46
ZENSARTECH,23.84,23.84
TIL,9.50,199.47
TAINWALCHM,54.54,54.54
BERGEPAINT,62.25,62.25
BANARISUG,52.21,52.21
JINDALPOLY,10.94,18.52
KPIL,32.83,32.83
JYOTISTRUC,59.05,59.05
IGARASHI,57.85,57.85
BSL,16.39,16.39
BLUEDART,56.00,56.00
NKIND,1092.85,1092.85
JAYNECOIND,275.10,114.80
MUNJALSHOW,17.29,17.29
APCOTEXIND,32.58,32.58
SOTL,23.61,23.61
HSCL,42.78,42.78
RCF,29.53,31.39
RANASUG,9.77,9.77
KARURVYSYA,9.66,9.66
DECCANCE,425.51,74.60
ARENTERP,19.78,19.78
WSI,836.97,182.13
UFLEX,,8.54
TATAPOWER,35.60,34.34
ADVANIHOTR,22.67,22.67
THOMASCOOK,27.97,27.60
SUNFLAG,29.07,29.07
SUBROS,30.23,30.23
SPMLINFRA,47.12,49.55
SIMPLEXINF,13.61,13.61
SIEMENS,39.36,39.36
BHARATRAS,27.29,27.30
WIPRO,18.59,18.59
VSTIND,16.91,22.64
JUBLPHARMA,23.56,19.27
UNIVCABLES,36.43,36.43
TATACOMM,29.67,47.49
TOKYOPLAST,153.62,153.62
SOMANYCERA,24.84,25.29
MURUDCERA,28.12,28.12
IFCI,49.97,50.48
HLVLTD,34.03,37.38
SANOFI,38.76,36.32
M&M,28.80,28.80
LIBERTSHOE,56.10,41.34
KAJARIACER,35.23,35.23
KABRAEXTRU,26.76,26.76
HEIDELBERG,43.60,43.60
MODTHREAD,28.31,28.31
MANGLMCEM,50.55,50.55
POLYPLEX,9.86,9.86
PIDILITIND,77.91,75.98
PCBL,35.74,35.70
3PLAND,37.38,37.38
OSWALAGRO,30.27,30.26
EIHAHOTELS,28.49,27.38
HONDAPOWER,36.45,38.92
JINDALSAW,9.46,9.46
SAIL,28.05,18.08
RUBYMILLS,16.23,16.23
STYRENIX,22.18,22.18
ABB,64.24,64.24
IDBI,12.80,12.80
GRAPHITE,22.12,22.12
CANFINHOME,11.84,11.84
BRITANNIA,60.47,59.96
BBL,26.41,26.41
ELECTCAST,8.42,8.42
DHAMPURSUG,15.84,15.84
DCMSHRIRAM,31.02,31.02
DABUR,48.54,48.54
COSMOFIRST,12.98,12.98
CIPLA,24.68,24.68
HEROMOTOCO,17.20,17.20
HDFCBANK,20.79,20.52
HARRMALAYA,2631.31,48.79
GMBREW,12.39,12.39
GIPCL,14.28,14.28
ITC,26.85,26.84
INDIANHUME,20.92,20.92
HINDCOMPOS,18.14,18.14
IOC,21.25,26.45
OSWALGREEN,92.71,92.71
HUHTAMAKI,17.09,25.45
RICOAUTO,30.18,29.65
KAMATHOTEL,21.82,23.12
IFBAGRO,24.24,24.24
BANCOINDIA,18.92,18.92
MANINDS,17.10,17.10
APOLLOTYRE,22.76,21.54
SIYSIL,17.13,17.13
SHANTIGEAR,40.56,40.56
PRECWIRE,31.37,31.37
ONWARDTEC,24.53,24.53
NILKAMAL,24.64,24.64
NCC,16.45,16.06
ICIL,18.46,18.46
SEAMECLTD,25.12,27.39
ELGIEQUIP,45.49,45.49
AUROPHARMA,19.71,19.34
BBTC,6.92,6.75
EIHOTEL,33.61,33.93
LICHSGFIN,6.51,6.51
GICHSGFIN,5.51,5.51
BEPL,15.80,15.80
BANARBEADS,25.93,25.93
MOREPENLAB,23.61,23.61
WSTCSTPAPR,7.15,7.15
21STCENMGM,2.08,2.08
