"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"27-AUG-2026","APOLLOTYRE","Apollo Tyres Ltd.","BAJAJ LIFE INSURANCE LIMITED","BUY","22,98,000","435.00",
"27-AUG-2026","APOLLOTYRE","Apollo Tyres Ltd.","EMERALD SAGE INVESTMENT LTD","SELL","2,70,10,000","435.00",
"27-AUG-2026","APOLLOTYRE","Apollo Tyres Ltd.","ICICI PRUDENTIAL MUTUAL FUND","BUY","1,90,80,000","435.00",
"27-AUG-2026","APOLLOTYRE","Apollo Tyres Ltd.","SBI LIFE INSURANCE COMPANY LIMITED","BUY","56,32,000","435.00",
"27-AUG-2026","FOSECOIND","Foseco India Ltd","CATAMARAN VENTURES LLP","BUY","55,978","5,897.00",
"27-AUG-2026","FOSECOIND","Foseco India Ltd","CITIGROUP GLOBAL MARKETS SINGAPORE PTE LIMITED","BUY","42,577","5,897.00",
"27-AUG-2026","FOSECOIND","Foseco India Ltd","INVESCO MUTUAL FUND","BUY","2,54,446","5,897.00",
"27-AUG-2026","FOSECOIND","Foseco India Ltd","LIC MUTUAL FUND","BUY","42,577","5,897.00",
"27-AUG-2026","FOSECOIND","Foseco India Ltd","MAHINDRA MANULIFE MUTUAL FUND","BUY","55,978","5,897.00",
"27-AUG-2026","FOSECOIND","Foseco India Ltd","MIRAE ASSET MUTUAL FUND","BUY","2,91,793","5,897.00",
"27-AUG-2026","FOSECOIND","Foseco India Ltd","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","42,577","5,897.00",
"27-AUG-2026","FOSECOIND","Foseco India Ltd","MORGAN TERRASSEN B V","SELL","5,60,056","5,897.00",
"27-AUG-2026","FOSECOIND","Foseco India Ltd","MORGANITE CRUCIBLE LIMITED","SELL","5,90,744","5,897.00",
"27-AUG-2026","FOSECOIND","Foseco India Ltd","MOTILAL OSWAL MUTUAL FUND","BUY","42,577","5,897.00",
"27-AUG-2026","FOSECOIND","Foseco India Ltd","SBI MUTUAL FUND","BUY","3,22,297","5,897.00",
